[[ 1.00000000e+00  1.25055521e-12]
 [ 1.00000000e+00 -1.13686838e-13]
 [-1.69109171e-12  1.00000000e+00]
 [-8.10018719e-13  1.00000000e+00]
 [ 1.00000000e+00  9.94759830e-14]
 [ 1.10844667e-12  1.00000000e+00]
 [ 1.00000000e+00  3.36797257e-12]
 [ 1.00000000e+00  1.13686838e-12]
 [ 1.00000000e+00  2.01794137e-12]
 [-9.94759830e-14  1.00000000e+00]
 [ 1.00000000e+00  1.59161573e-12]
 [-1.90425453e-12  1.00000000e+00]
 [ 1.00000000e+00  2.61479727e-12]
 [-5.25801624e-13  1.00000000e+00]
 [-2.43005616e-12  1.00000000e+00]
 [ 1.00000000e+00  2.13162821e-13]
 [-1.50635060e-12  1.00000000e+00]
 [-1.25055521e-12  1.00000000e+00]
 [ 1.00000000e+00  3.15480975e-12]
 [-2.13162821e-12  1.00000000e+00]
 [-1.50635060e-12  1.00000000e+00]
 [ 1.00000000e+00 -9.23705556e-13]
 [ 1.00000000e+00 -1.84741111e-13]
 [ 1.00000000e+00  1.56319402e-12]
 [-1.33582034e-12  1.00000000e+00]
 [ 1.00000000e+00  1.27897692e-12]
 [-9.66338121e-13  1.00000000e+00]
 [-6.82121026e-13  1.00000000e+00]
 [-2.98427949e-13  1.00000000e+00]
 [ 4.26325641e-13  1.00000000e+00]
 [ 6.25277607e-13  1.00000000e+00]
 [ 1.00000000e+00  1.62003744e-12]
 [ 1.00000000e+00  8.81072992e-13]
 [-1.77635684e-12  1.00000000e+00]
 [ 1.00000000e+00  1.73372428e-12]
 [-2.89901436e-12  1.00000000e+00]
 [-3.69482223e-13  1.00000000e+00]
 [ 3.55271368e-13  1.00000000e+00]
 [ 1.00000000e+00  2.21689334e-12]
 [-1.70530257e-12  1.00000000e+00]
 [ 1.00000000e+00  3.92219590e-12]
 [-4.26325641e-14  1.00000000e+00]
 [ 1.27897692e-13  1.00000000e+00]
 [ 1.00000000e+00  9.37916411e-13]
 [-1.96109795e-12  1.00000000e+00]
 [ 1.00000000e+00  1.30739863e-12]
 [-1.63424829e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.26325641e-14]
 [ 1.00000000e+00  1.13686838e-12]
 [ 1.00000000e+00  7.24753590e-13]
 [ 1.42108547e-13  1.00000000e+00]
 [ 1.00000000e+00  5.25801624e-13]
 [-8.24229573e-13  1.00000000e+00]
 [-6.25277607e-13  1.00000000e+00]
 [-1.37845291e-12  1.00000000e+00]
 [ 1.00000000e+00  1.02318154e-12]
 [-5.68434189e-13  1.00000000e+00]
 [-2.98427949e-13  1.00000000e+00]
 [ 1.00000000e+00  2.33058017e-12]
 [ 1.00000000e+00  3.02691205e-12]
 [ 1.00000000e+00  2.91322522e-12]
 [ 1.00000000e+00  1.74793513e-12]
 [-6.82121026e-13  1.00000000e+00]
 [ 1.00000000e+00  1.35003120e-12]
 [-3.55271368e-13  1.00000000e+00]
 [ 1.00000000e+00  1.79056769e-12]
 [-9.37916411e-13  1.00000000e+00]
 [-1.60582658e-12  1.00000000e+00]
 [ 1.00000000e+00  1.89004368e-12]
 [-1.03739239e-12  1.00000000e+00]
 [ 1.00000000e+00  3.01270120e-12]
 [ 6.82121026e-13  1.00000000e+00]
 [-8.81072992e-13  1.00000000e+00]
 [ 1.00000000e+00  3.16902060e-12]
 [ 1.00000000e+00  3.38218342e-12]
 [-3.19744231e-12  1.00000000e+00]
 [-1.22213351e-12  1.00000000e+00]
 [ 1.00000000e+00  3.22586402e-12]
 [ 1.00000000e+00  2.23110419e-12]
 [-3.41060513e-12  1.00000000e+00]
 [-2.41584530e-13  1.00000000e+00]
 [ 1.00000000e+00  2.68585154e-12]
 [ 1.00000000e+00  6.11066753e-13]
 [ 8.66862138e-13  1.00000000e+00]
 [ 6.67910172e-13  1.00000000e+00]
 [ 1.00000000e+00  2.54374299e-12]
 [-1.81898940e-12  1.00000000e+00]
 [ 1.00000000e+00  5.68434189e-14]
 [ 1.00000000e+00  2.04636308e-12]
 [-1.96109795e-12  1.00000000e+00]
 [ 1.00000000e+00  3.05533376e-12]
 [ 1.00000000e+00  1.56319402e-12]
 [-1.36424205e-12  1.00000000e+00]
 [ 1.00000000e+00  1.05160325e-12]
 [ 1.00000000e+00  1.79056769e-12]
 [-2.11741735e-12  1.00000000e+00]
 [-7.10542736e-13  1.00000000e+00]
 [ 1.00000000e+00  7.53175300e-13]
 [-1.30739863e-12  1.00000000e+00]
 [ 1.00000000e+00  2.00373051e-12]
 [ 1.00000000e+00  5.25801624e-13]
 [ 1.00000000e+00  3.49587026e-12]
 [ 1.00000000e+00  7.10542736e-13]
 [ 1.00000000e+00  2.61479727e-12]
 [-1.39266376e-12  1.00000000e+00]
 [ 1.00000000e+00  2.82796009e-12]
 [-3.83693077e-13  1.00000000e+00]
 [-2.97006864e-12  1.00000000e+00]
 [-4.83169060e-13  1.00000000e+00]
 [-1.97530881e-12  1.00000000e+00]
 [-7.24753590e-13  1.00000000e+00]
 [-5.11590770e-13  1.00000000e+00]
 [ 1.00000000e+00  2.38742359e-12]
 [ 1.00000000e+00  5.25801624e-13]
 [ 1.00000000e+00  2.98427949e-13]
 [-1.15107923e-12  1.00000000e+00]
 [ 1.00000000e+00  2.92743607e-12]
 [-8.24229573e-13  1.00000000e+00]
 [ 1.00000000e+00  1.87583282e-12]
 [-5.96855898e-13  1.00000000e+00]
 [-1.77635684e-12  1.00000000e+00]
 [-1.52056145e-12  1.00000000e+00]
 [-4.26325641e-13  1.00000000e+00]
 [ 1.00000000e+00  4.67537120e-12]
 [ 1.00000000e+00  3.29691829e-12]
 [ 1.00000000e+00  2.74269496e-12]
 [ 1.00000000e+00  7.10542736e-13]
 [-1.54898316e-12  1.00000000e+00]
 [ 1.00000000e+00  3.41060513e-13]
 [-2.84217094e-13  1.00000000e+00]
 [-7.10542736e-13  1.00000000e+00]
 [-5.25801624e-13  1.00000000e+00]
 [ 1.00000000e+00  2.33058017e-12]]
