[[ 1.00000000e+00 -2.23820962e-13]
 [ 1.00000000e+00 -1.66977543e-13]
 [ 1.00000000e+00 -9.94759830e-14]
 [ 1.00000000e+00 -1.55431223e-13]
 [ 1.04805054e-13  1.00000000e+00]
 [ 8.43769499e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.27897692e-13]
 [ 6.21724894e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.20792265e-13]
 [ 9.41469125e-14  1.00000000e+00]
 [ 4.88498131e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.77635684e-13]
 [ 1.13686838e-13  1.00000000e+00]
 [ 9.94759830e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.10134124e-13]
 [ 1.00000000e+00 -1.93622895e-13]
 [ 7.28306304e-14  1.00000000e+00]
 [ 7.99360578e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.24344979e-13]
 [ 8.88178420e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.33226763e-13]
 [ 1.00000000e+00 -1.35003120e-13]
 [ 1.31450406e-13  1.00000000e+00]
 [ 9.76996262e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.42108547e-13]
 [ 8.88178420e-14  1.00000000e+00]
 [ 1.18127730e-13  1.00000000e+00]
 [ 9.68114477e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.17239551e-13]
 [ 1.00000000e+00 -1.29674049e-13]
 [ 1.00000000e+00 -1.81188398e-13]
 [ 1.00000000e+00 -1.63424829e-13]
 [ 1.00000000e+00 -8.88178420e-14]
 [ 1.15463195e-13  1.00000000e+00]
 [ 1.03028697e-13  1.00000000e+00]
 [ 9.14823772e-14  1.00000000e+00]
 [ 7.81597009e-14  1.00000000e+00]
 [ 8.88178420e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.42108547e-13]
 [ 1.35003120e-13  1.00000000e+00]
 [ 1.43884904e-13  1.00000000e+00]
 [ 8.79296636e-14  1.00000000e+00]
 [ 6.12843110e-14  1.00000000e+00]
 [ 1.24344979e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.42108547e-13]
 [ 1.00000000e+00 -1.38555833e-13]
 [ 1.00000000e+00 -1.65201186e-13]
 [ 1.00000000e+00 -1.70530257e-13]
 [ 1.63424829e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.06581410e-13]
 [ 1.15463195e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.45661261e-13]
 [ 1.00000000e+00 -1.54543045e-13]
 [ 5.77315973e-14  1.00000000e+00]
 [ 9.59232693e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.13686838e-13]
 [ 3.90798505e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.43884904e-13]
 [ 1.08357767e-13  1.00000000e+00]
 [ 1.10134124e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.45661261e-13]
 [ 1.00000000e+00 -1.50990331e-13]
 [ 8.79296636e-14  1.00000000e+00]
 [ 9.41469125e-14  1.00000000e+00]
 [-6.21724894e-15  1.00000000e+00]
 [ 8.17124146e-14  1.00000000e+00]
 [ 6.03961325e-14  1.00000000e+00]
 [ 8.79296636e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.50990331e-13]
 [ 6.92779167e-14  1.00000000e+00]
 [ 7.63833441e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.47437618e-13]
 [ 1.00000000e+00 -1.38555833e-13]
 [ 1.00000000e+00 -1.62536651e-13]
 [ 1.00000000e+00 -9.94759830e-14]
 [ 1.00000000e+00 -2.04281037e-13]
 [ 1.00000000e+00 -1.90070182e-13]
 [ 9.59232693e-14  1.00000000e+00]
 [ 5.50670620e-14  1.00000000e+00]
 [ 1.24344979e-13  1.00000000e+00]
 [ 3.90798505e-14  1.00000000e+00]
 [ 1.35003120e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.15907284e-13]
 [ 1.00000000e+00 -1.97175609e-13]
 [ 8.26005930e-14  1.00000000e+00]
 [ 7.46069873e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.53654867e-13]
 [ 1.00000000e+00 -1.54543045e-13]
 [ 1.33226763e-13  1.00000000e+00]
 [ 8.97060204e-14  1.00000000e+00]
 [ 4.08562073e-14  1.00000000e+00]
 [ 7.90478794e-14  1.00000000e+00]
 [ 7.99360578e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.65201186e-13]
 [ 9.41469125e-14  1.00000000e+00]
 [ 1.16351373e-13  1.00000000e+00]
 [ 8.17124146e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.49213975e-13]
 [ 1.00000000e+00 -7.99360578e-14]
 [ 9.94759830e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.86517468e-13]
 [ 1.59872116e-14  1.00000000e+00]
 [ 1.20792265e-13  1.00000000e+00]
 [ 3.90798505e-14  1.00000000e+00]
 [ 9.23705556e-14  1.00000000e+00]
 [ 1.00000000e+00 -7.99360578e-14]
 [ 4.44089210e-14  1.00000000e+00]
 [ 1.01252340e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.01252340e-13]
 [ 8.34887715e-14  1.00000000e+00]
 [ 1.03916875e-13  1.00000000e+00]
 [ 8.52651283e-14  1.00000000e+00]
 [ 5.50670620e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.37667655e-13]
 [ 7.46069873e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.33590924e-13]
 [ 7.28306304e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.24344979e-13]
 [ 1.00000000e+00 -1.38555833e-13]
 [ 4.61852778e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.65201186e-13]
 [ 1.00000000e+00 -1.71418435e-13]
 [ 1.00000000e+00 -8.88178420e-14]
 [ 7.63833441e-14  1.00000000e+00]
 [ 4.97379915e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.36779477e-13]
 [ 1.00000000e+00 -1.34114941e-13]
 [ 1.11910481e-13  1.00000000e+00]
 [ 3.19744231e-14  1.00000000e+00]
 [ 7.28306304e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.42108547e-13]
 [ 1.00000000e+00 -1.49213975e-13]
 [ 1.03028697e-13  1.00000000e+00]
 [ 9.05941988e-14  1.00000000e+00]
 [ 1.00000000e+00 -9.85878046e-14]
 [ 1.24344979e-13  1.00000000e+00]
 [ 6.57252031e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.65201186e-13]
 [ 1.00000000e+00 -1.32338585e-13]
 [ 1.00000000e+00 -1.56319402e-13]
 [ 8.88178420e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.74971149e-13]
 [ 1.06581410e-13  1.00000000e+00]
 [ 1.00000000e+00 -2.01616501e-13]]
