[[ 1.00000000e+00  1.23789867e-14]
 [ 2.18713936e-14  1.00000000e+00]
 [ 1.00000000e+00  8.74300632e-15]
 [ 1.00000000e+00  3.40005801e-15]
 [ 1.00000000e+00  9.43689571e-16]
 [ 1.00000000e+00 -4.71844785e-15]
 [ 1.70280456e-14  1.00000000e+00]
 [ 1.92623695e-14  1.00000000e+00]
 [ 2.46330734e-14  1.00000000e+00]
 [ 2.57571742e-14  1.00000000e+00]
 [ 1.83186799e-14  1.00000000e+00]
 [ 1.00000000e+00  8.32667268e-16]
 [ 2.51743071e-14  1.00000000e+00]
 [ 1.66255898e-14  1.00000000e+00]
 [ 2.48689958e-14  1.00000000e+00]
 [ 2.03170814e-14  1.00000000e+00]
 [ 1.93178806e-14  1.00000000e+00]
 [ 2.52020627e-14  1.00000000e+00]
 [ 2.88033486e-14  1.00000000e+00]
 [ 9.71445147e-15  1.00000000e+00]
 [ 1.00000000e+00  9.99200722e-16]
 [ 2.39253062e-14  1.00000000e+00]
 [ 1.00000000e+00  7.21644966e-15]
 [ 1.46826995e-14  1.00000000e+00]
 [ 1.00000000e+00  5.82867088e-15]
 [ 1.00000000e+00  7.27196081e-15]
 [ 3.68871600e-14  1.00000000e+00]
 [ 2.05668815e-14  1.00000000e+00]
 [ 1.31283873e-14  1.00000000e+00]
 [ 1.00000000e+00 -6.82787160e-15]
 [ 1.00000000e+00 -1.04360964e-14]
 [ 1.85407245e-14  1.00000000e+00]
 [ 1.72639680e-14  1.00000000e+00]
 [ 1.53765889e-14  1.00000000e+00]
 [ 1.00000000e+00  1.52655666e-15]
 [ 1.00000000e+00  1.38777878e-15]
 [ 2.95180547e-14  1.00000000e+00]
 [ 1.71529457e-14  1.00000000e+00]
 [ 1.00000000e+00  2.35922393e-14]
 [ 1.00000000e+00  9.52016244e-15]
 [ 1.80966353e-14  1.00000000e+00]
 [ 1.00000000e+00  9.99200722e-16]
 [ 1.00000000e+00  1.57929225e-14]
 [ 2.65343303e-14  1.00000000e+00]
 [ 2.20656826e-14  1.00000000e+00]
 [ 1.00000000e+00  9.10382880e-15]
 [ 9.60342916e-15  1.00000000e+00]
 [ 1.00000000e+00  1.35169653e-14]
 [ 1.00000000e+00  8.38218384e-15]
 [ 1.00000000e+00 -9.02056208e-16]
 [ 2.64788191e-14  1.00000000e+00]
 [ 9.99200722e-15  1.00000000e+00]
 [ 1.26010313e-14  1.00000000e+00]
 [ 2.13162821e-14  1.00000000e+00]
 [ 1.00000000e+00  4.91273688e-15]
 [ 1.00000000e+00  7.82707232e-15]
 [ 1.00000000e+00  1.11299858e-14]
 [ 1.59039448e-14  1.00000000e+00]
 [ 1.00000000e+00  1.11854970e-14]
 [ 1.00000000e+00 -5.55111512e-15]
 [ 3.54438701e-14  1.00000000e+00]
 [ 1.00000000e+00  1.10744747e-14]
 [ 1.00000000e+00 -4.56579219e-15]
 [ 1.00000000e+00 -8.72912853e-15]
 [ 9.15933995e-15  1.00000000e+00]
 [ 1.00000000e+00 -3.33066907e-16]
 [ 1.32116540e-14  1.00000000e+00]
 [ 2.01505479e-14  1.00000000e+00]
 [ 1.00000000e+00  1.88737914e-14]
 [ 1.00000000e+00  5.52335955e-15]
 [ 1.00000000e+00  5.44009282e-15]
 [ 1.38500322e-14  1.00000000e+00]
 [ 2.07056594e-14  1.00000000e+00]
 [ 1.00000000e+00  5.38458167e-15]
 [ 1.00000000e+00  8.57647287e-15]
 [ 1.00000000e+00 -4.27435864e-15]
 [ 2.74780199e-14  1.00000000e+00]
 [ 1.00000000e+00 -8.88178420e-16]
 [ 1.00197628e-14  1.00000000e+00]
 [ 1.00000000e+00  3.71924713e-15]
 [ 2.02476924e-14  1.00000000e+00]
 [ 1.93733918e-14  1.00000000e+00]
 [ 1.00000000e+00  9.60342916e-15]
 [ 1.01585407e-14  1.00000000e+00]
 [ 1.94289029e-14  1.00000000e+00]
 [ 1.33504319e-14  1.00000000e+00]
 [ 1.50435220e-14  1.00000000e+00]
 [ 2.12330153e-14  1.00000000e+00]
 [ 1.00000000e+00  7.50788320e-15]
 [ 1.00000000e+00  1.21014310e-14]
 [ 1.00000000e+00  1.19904087e-14]
 [ 2.02615702e-14  1.00000000e+00]
 [ 2.39530618e-14  1.00000000e+00]
 [ 1.00000000e+00  5.14865928e-15]
 [ 2.18158824e-14  1.00000000e+00]
 [ 1.35724765e-14  1.00000000e+00]
 [ 1.00000000e+00  7.27196081e-15]
 [ 1.08524301e-14  1.00000000e+00]
 [ 1.00000000e+00 -3.10862447e-15]
 [ 2.49869569e-14  1.00000000e+00]
 [ 1.00000000e+00  3.89965837e-15]
 [ 1.00000000e+00 -6.21724894e-15]
 [ 1.49880108e-14  1.00000000e+00]
 [ 1.92068583e-14  1.00000000e+00]
 [ 1.55986335e-14  1.00000000e+00]
 [ 1.49602553e-14  1.00000000e+00]
 [ 1.43773882e-14  1.00000000e+00]
 [ 1.25177646e-14  1.00000000e+00]
 [ 1.28508315e-14  1.00000000e+00]
 [ 2.70339306e-14  1.00000000e+00]
 [ 1.00000000e+00  1.13936638e-14]
 [ 2.84772206e-14  1.00000000e+00]
 [ 8.82627305e-15  1.00000000e+00]
 [ 1.00000000e+00  9.76996262e-15]
 [ 3.00731662e-14  1.00000000e+00]
 [ 1.00000000e+00  3.35842465e-15]
 [ 2.00811590e-14  1.00000000e+00]
 [ 2.60347299e-14  1.00000000e+00]
 [ 1.00000000e+00 -6.10622664e-16]
 [ 1.00000000e+00  5.55111512e-16]
 [ 1.00000000e+00 -7.21644966e-16]
 [ 1.00000000e+00 -1.72084569e-15]
 [ 2.36199948e-14  1.00000000e+00]
 [ 1.91513472e-14  1.00000000e+00]
 [ 1.00000000e+00  1.31838984e-14]
 [ 1.00000000e+00 -3.94129174e-15]
 [ 1.00000000e+00  9.99200722e-16]
 [ 1.75137682e-14  1.00000000e+00]
 [ 1.57929225e-14  1.00000000e+00]
 [ 1.74027459e-14  1.00000000e+00]
 [ 1.00000000e+00  4.60742555e-15]
 [ 9.21485110e-15  1.00000000e+00]
 [ 2.87547763e-14  1.00000000e+00]
 [ 1.00000000e+00  4.08006962e-15]
 [ 1.00000000e+00  1.24206201e-14]
 [ 1.00000000e+00  2.07611706e-14]
 [ 1.00000000e+00  5.46784840e-15]
 [ 2.75057754e-14  1.00000000e+00]
 [ 1.62370117e-14  1.00000000e+00]
 [ 2.93653990e-14  1.00000000e+00]
 [ 1.26010313e-14  1.00000000e+00]
 [ 1.71807013e-14  1.00000000e+00]]
