[[ 1.00000000e+00  2.25863772e-12]
 [-2.14983586e-12  1.00000000e+00]
 [-1.25865984e-12  1.00000000e+00]
 [ 1.00000000e+00  1.55409019e-12]
 [ 5.52335955e-14  1.00000000e+00]
 [ 1.00000000e+00  1.15163434e-12]
 [ 1.00000000e+00  2.20323759e-12]
 [-2.03059791e-13  1.00000000e+00]
 [-1.87116989e-12  1.00000000e+00]
 [ 1.00000000e+00  1.56252788e-12]
 [-1.53921320e-12  1.00000000e+00]
 [-1.79778414e-12  1.00000000e+00]
 [-1.04782849e-12  1.00000000e+00]
 [ 1.00000000e+00  1.25910393e-12]
 [ 1.00000000e+00  2.31736852e-12]
 [ 1.00000000e+00  1.63080660e-12]
 [ 1.00000000e+00  7.73381359e-13]
 [ 1.00000000e+00  3.67700315e-12]
 [-1.66022751e-12  1.00000000e+00]
 [-2.37954101e-12  1.00000000e+00]
 [-9.08717546e-13  1.00000000e+00]
 [-1.55064850e-12  1.00000000e+00]
 [-1.45006229e-12  1.00000000e+00]
 [ 1.00000000e+00  1.76358927e-12]
 [-1.90969462e-12  1.00000000e+00]
 [-1.27065025e-12  1.00000000e+00]
 [-1.02340358e-12  1.00000000e+00]
 [-7.58282326e-14  1.00000000e+00]
 [-1.76980652e-12  1.00000000e+00]
 [ 1.00000000e+00  2.96140890e-12]
 [ 1.00000000e+00  2.62123656e-12]
 [ 1.00000000e+00  1.30695454e-12]
 [ 1.00000000e+00  8.25561841e-13]
 [-8.97171226e-13  1.00000000e+00]
 [ 1.00000000e+00  2.05757633e-12]
 [-4.45310455e-13  1.00000000e+00]
 [ 1.00000000e+00  8.51096971e-13]
 [ 1.00000000e+00  9.46243084e-13]
 [-1.45428114e-12  1.00000000e+00]
 [-2.11786144e-12  1.00000000e+00]
 [ 1.00000000e+00  2.59126054e-12]
 [ 3.33288952e-13  1.00000000e+00]
 [ 1.00000000e+00  2.36888287e-12]
 [-1.99962269e-12  1.00000000e+00]
 [ 3.45057316e-13  1.00000000e+00]
 [ 1.00000000e+00  1.83553173e-12]
 [ 1.00000000e+00  2.17087459e-12]
 [-4.08784118e-13  1.00000000e+00]
 [-4.99211783e-13  1.00000000e+00]
 [-6.53921362e-13  1.00000000e+00]
 [-3.97237798e-13  1.00000000e+00]
 [-9.07385278e-13  1.00000000e+00]
 [-6.86672941e-13  1.00000000e+00]
 [ 1.00000000e+00  1.64890324e-12]
 [-1.68798309e-12  1.00000000e+00]
 [-1.23467903e-12  1.00000000e+00]
 [ 1.00000000e+00  2.13934426e-12]
 [ 1.00000000e+00  2.17070806e-12]
 [ 1.00000000e+00  2.75146572e-12]
 [ 1.00000000e+00  2.79443135e-12]
 [ 1.00000000e+00  2.31770159e-12]
 [ 1.00000000e+00  1.94433358e-12]
 [-1.45650159e-12  1.00000000e+00]
 [-2.19879670e-12  1.00000000e+00]
 [-6.80233647e-13  1.00000000e+00]
 [-2.26330066e-12  1.00000000e+00]
 [-2.02504680e-12  1.00000000e+00]
 [ 1.00000000e+00  2.12163620e-12]
 [ 1.00000000e+00  1.13931087e-12]
 [-5.40567591e-13  1.00000000e+00]
 [-2.72004641e-12  1.00000000e+00]
 [ 1.00000000e+00  7.74269537e-13]
 [ 1.00000000e+00  3.62021524e-12]
 [-2.69029243e-12  1.00000000e+00]
 [-2.74746892e-12  1.00000000e+00]
 [-8.81072992e-13  1.00000000e+00]
 [ 5.32907052e-15  1.00000000e+00]
 [-1.43651757e-12  1.00000000e+00]
 [ 1.00000000e+00  1.87883042e-12]
 [-7.64055486e-13  1.00000000e+00]
 [-7.96807065e-13  1.00000000e+00]
 [-2.19357865e-12  1.00000000e+00]
 [ 1.00000000e+00  1.83320026e-12]
 [ 1.00000000e+00  1.83264515e-12]
 [-9.69335723e-13  1.00000000e+00]
 [ 1.00000000e+00 -1.25677246e-13]
 [-2.01988426e-12  1.00000000e+00]
 [-1.83497662e-12  1.00000000e+00]
 [-3.48776563e-13  1.00000000e+00]
 [-1.27853284e-12  1.00000000e+00]
 [ 1.00000000e+00  2.72304401e-12]
 [-1.25977007e-12  1.00000000e+00]
 [-8.24895707e-13  1.00000000e+00]
 [ 1.00000000e+00  2.30926389e-12]
 [-2.63067346e-12  1.00000000e+00]
 [-9.89541782e-13  1.00000000e+00]
 [-5.98632255e-13  1.00000000e+00]
 [-1.90569782e-12  1.00000000e+00]
 [ 1.00000000e+00  1.69864123e-12]
 [-2.00217620e-12  1.00000000e+00]
 [ 1.00000000e+00  1.32593936e-12]
 [ 1.74193993e-13  1.00000000e+00]
 [ 1.00000000e+00  1.49891211e-12]
 [ 1.00000000e+00  6.09068351e-13]
 [-2.12896367e-12  1.00000000e+00]
 [ 1.00000000e+00  1.84197102e-12]
 [ 1.00000000e+00  1.94799732e-12]
 [ 1.00000000e+00  2.01472172e-12]
 [-6.36157793e-13  1.00000000e+00]
 [-1.63158376e-12  1.00000000e+00]
 [ 1.00000000e+00  2.32575070e-12]
 [ 1.00000000e+00  1.47004631e-12]
 [-1.10100817e-12  1.00000000e+00]
 [-1.47715173e-12  1.00000000e+00]
 [-1.72484249e-12  1.00000000e+00]
 [ 1.00000000e+00  2.11930473e-12]
 [ 1.00000000e+00  2.53463917e-12]
 [-2.15105711e-12  1.00000000e+00]
 [-1.00763842e-12  1.00000000e+00]
 [ 1.00000000e+00  9.28146449e-13]
 [-2.45992116e-12  1.00000000e+00]
 [-2.12074802e-12  1.00000000e+00]
 [ 1.00000000e+00  1.58040248e-12]
 [ 1.00000000e+00  1.05793152e-12]
 [ 1.00000000e+00  1.13209442e-12]
 [-1.39349643e-12  1.00000000e+00]
 [ 1.00000000e+00  3.62199160e-12]
 [-1.90780725e-12  1.00000000e+00]
 [ 1.00000000e+00  2.94553271e-12]]
