[[ 1.00000000e+00 -4.17088586e-12]
 [ 1.66444636e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.95781194e-12]
 [ 2.55084842e-12  1.00000000e+00]
 [ 1.00000000e+00 -1.92468264e-12]
 [ 1.00000000e+00 -3.86091159e-12]
 [ 3.58468810e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.62661029e-12]
 [ 1.00000000e+00 -3.98614475e-12]
 [ 1.00000000e+00 -5.04840614e-12]
 [ 3.61666253e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.35926858e-12]
 [ 9.61009050e-13  1.00000000e+00]
 [ 1.00000000e+00 -3.19655413e-12]
 [ 1.00000000e+00 -3.83160170e-12]
 [ 1.00000000e+00 -4.04298817e-12]
 [ 1.00000000e+00 -4.95337105e-12]
 [ 3.08020276e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.89475127e-12]
 [ 1.00000000e+00 -4.57056615e-12]
 [ 1.92379446e-12  1.00000000e+00]
 [ 3.03046477e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.13891144e-12]
 [ 1.00000000e+00 -3.36264350e-12]
 [ 3.18589599e-12  1.00000000e+00]
 [ 1.57385216e-12  1.00000000e+00]
 [ 3.32356365e-12  1.00000000e+00]
 [ 2.16449081e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.68336481e-12]
 [ 2.71338507e-12  1.00000000e+00]
 [ 3.33599814e-12  1.00000000e+00]
 [ 2.37587727e-12  1.00000000e+00]
 [ 4.51905180e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.45412587e-12]
 [ 2.85460544e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.89475127e-12]
 [ 6.44817533e-13  1.00000000e+00]
 [ 2.85460544e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.76241269e-12]
 [ 1.00000000e+00 -4.96225283e-12]
 [ 1.30206956e-12  1.00000000e+00]
 [ 2.51620946e-12  1.00000000e+00]
 [ 3.36441985e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.50475204e-12]
 [ 1.17239551e-12  1.00000000e+00]
 [ 2.61124455e-12  1.00000000e+00]
 [ 3.97815114e-12  1.00000000e+00]
 [ 4.26503277e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.07940348e-12]
 [ 1.00000000e+00 -3.94795308e-12]
 [ 1.00000000e+00 -4.12558876e-12]
 [ 1.00000000e+00 -3.04645198e-12]
 [ 1.00000000e+00 -4.00124378e-12]
 [ 1.00000000e+00 -4.82724971e-12]
 [ 2.86082269e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.32374145e-12]
 [ 1.00000000e+00 -4.38049597e-12]
 [ 1.00000000e+00 -4.43112214e-12]
 [ 3.03668202e-12  1.00000000e+00]
 [ 3.70636855e-12  1.00000000e+00]
 [ 2.40962805e-12  1.00000000e+00]
 [ 3.32889272e-12  1.00000000e+00]
 [ 1.00000000e+00 -6.24034158e-12]
 [ 2.29771757e-12  1.00000000e+00]
 [ 3.78186371e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.08126874e-12]
 [ 1.00000000e+00 -4.07585077e-12]
 [ 3.55537821e-12  1.00000000e+00]
 [ 1.48681067e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.76596540e-12]
 [ 1.26743060e-12  1.00000000e+00]
 [ 1.47704071e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.29709610e-12]
 [ 2.08544293e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.96749300e-12]
 [ 3.45234952e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.74376094e-12]
 [ 3.05711012e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.43822756e-12]
 [ 1.00000000e+00 -4.65583128e-12]
 [ 2.26130226e-12  1.00000000e+00]
 [ 1.56052948e-12  1.00000000e+00]
 [ 3.34399175e-12  1.00000000e+00]
 [ 2.71960232e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.24824628e-12]
 [ 1.97353245e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.99502653e-12]
 [ 2.61834998e-12  1.00000000e+00]
 [ 2.19735341e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.14512868e-12]
 [ 2.13784546e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.81392703e-12]
 [ 2.07212025e-12  1.00000000e+00]
 [ 2.47268872e-12  1.00000000e+00]
 [ 3.60778074e-12  1.00000000e+00]
 [ 2.10498285e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.11848333e-12]
 [ 2.09166018e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.07407441e-12]
 [ 1.00000000e+00 -3.53672647e-12]
 [ 1.00000000e+00 -3.95683486e-12]
 [ 1.00000000e+00 -6.09645667e-12]
 [ 1.80300219e-12  1.00000000e+00]
 [ 2.69650968e-12  1.00000000e+00]
 [ 2.27906582e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.45075096e-12]
 [ 3.53228558e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.27222710e-12]
 [ 1.00000000e+00 -5.25535171e-12]
 [ 1.00000000e+00 -4.66382488e-12]
 [ 3.51363383e-12  1.00000000e+00]
 [ 1.00000000e+00 -5.16209298e-12]
 [ 1.00000000e+00 -3.73301390e-12]
 [ 2.14317453e-12  1.00000000e+00]
 [ 9.01501096e-13  1.00000000e+00]
 [ 1.17328369e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.95061761e-12]
 [ 4.84945417e-12  1.00000000e+00]
 [ 2.87769808e-12  1.00000000e+00]
 [ 2.16093810e-12  1.00000000e+00]
 [ 1.41131551e-12  1.00000000e+00]
 [ 4.15312229e-12  1.00000000e+00]
 [ 2.16004992e-12  1.00000000e+00]
 [ 1.84829929e-12  1.00000000e+00]
 [ 4.18332036e-12  1.00000000e+00]
 [ 3.70725672e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.09450251e-12]
 [ 1.91313632e-12  1.00000000e+00]
 [ 1.00000000e+00 -3.29158922e-12]
 [ 2.21689334e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.73754369e-12]
 [ 7.62057084e-13  1.00000000e+00]
 [ 1.00000000e+00 -4.23394653e-12]
 [ 1.99573691e-12  1.00000000e+00]
 [ 2.67252886e-12  1.00000000e+00]
 [ 1.00000000e+00 -2.12185824e-12]
 [ 2.09254836e-12  1.00000000e+00]
 [ 1.00000000e+00 -4.16200407e-12]]
