[[ 1.00000000e+00  1.71520784e-15]
 [ 2.31828445e-14  1.00000000e+00]
 [ 2.22044605e-16  1.00000000e+00]
 [ 1.92675736e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.98719383e-15]
 [ 1.64729341e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.63064007e-16]
 [ 2.21222780e-14  1.00000000e+00]
 [ 1.00000000e+00 -1.06650799e-14]
 [ 1.78468351e-14  1.00000000e+00]
 [ 1.00000000e+00 -6.70644096e-15]
 [ 2.54184694e-14  1.00000000e+00]
 [ 1.52516888e-14  1.00000000e+00]
 [ 1.00000000e+00  5.19029264e-15]
 [ 9.56873469e-15  1.00000000e+00]
 [ 1.00000000e+00 -7.71041217e-15]]
