[[ 1.00000000e+00  4.10782519e-15]
 [ 1.00000000e+00  1.33226763e-15]
 [ 1.00000000e+00  9.99200722e-16]
 [ 1.72084569e-14  1.00000000e+00]
 [ 1.12132525e-14  1.00000000e+00]
 [ 1.00000000e+00  3.55271368e-15]
 [ 1.53210777e-14  1.00000000e+00]
 [ 1.00000000e+00  6.66133815e-15]
 [ 1.00000000e+00 -7.43849426e-15]
 [ 1.99840144e-14  1.00000000e+00]
 [ 1.00000000e+00  2.55351296e-15]
 [ 1.00000000e+00 -2.99760217e-15]
 [ 1.00000000e+00  9.32587341e-15]
 [ 1.00000000e+00  1.55431223e-15]
 [ 1.98729921e-14  1.00000000e+00]
 [ 1.29896094e-14  1.00000000e+00]
 [ 1.00000000e+00  7.77156117e-15]
 [ 1.00000000e+00  8.99280650e-15]
 [ 1.31006317e-14  1.00000000e+00]
 [ 8.32667268e-15  1.00000000e+00]
 [ 7.21644966e-15  1.00000000e+00]
 [ 1.00000000e+00  4.88498131e-15]
 [ 1.00000000e+00  5.10702591e-15]
 [ 1.00000000e+00 -6.66133815e-16]
 [ 1.00000000e+00  3.99680289e-15]
 [ 1.00000000e+00  2.44249065e-15]
 [ 1.66533454e-14  1.00000000e+00]
 [ 1.00000000e+00 -2.33146835e-15]
 [ 1.45439216e-14  1.00000000e+00]
 [ 1.45439216e-14  1.00000000e+00]
 [ 1.00000000e+00  1.28785871e-14]
 [ 1.00000000e+00 -6.66133815e-15]
 [ 1.00000000e+00  1.55431223e-15]
 [ 5.32907052e-15  1.00000000e+00]
 [ 1.00000000e+00  1.02140518e-14]
 [ 1.49880108e-14  1.00000000e+00]
 [ 1.00000000e+00  1.88737914e-15]
 [ 1.98729921e-14  1.00000000e+00]
 [ 1.00000000e+00 -3.44169138e-15]
 [ 1.00000000e+00 -7.66053887e-15]
 [ 1.54321000e-14  1.00000000e+00]
 [ 1.37667655e-14  1.00000000e+00]
 [ 1.49880108e-14  1.00000000e+00]
 [ 1.00000000e+00  1.06581410e-14]
 [ 1.00000000e+00  1.55431223e-14]
 [ 1.47659662e-14  1.00000000e+00]
 [ 1.49880108e-14  1.00000000e+00]
 [ 1.00000000e+00  2.10942375e-15]
 [ 1.00000000e+00 -3.10862447e-15]
 [ 1.64313008e-14  1.00000000e+00]
 [ 7.99360578e-15  1.00000000e+00]
 [ 1.00000000e+00 -1.77635684e-15]
 [ 1.00000000e+00 -4.99600361e-15]
 [ 1.17683641e-14  1.00000000e+00]
 [ 1.86517468e-14  1.00000000e+00]
 [ 1.00000000e+00 -3.77475828e-15]
 [ 1.00000000e+00  6.66133815e-16]
 [ 1.00000000e+00  1.04360964e-14]
 [ 1.00000000e+00  2.33146835e-15]
 [ 1.00000000e+00  3.55271368e-15]
 [ 1.00000000e+00 -1.44328993e-14]
 [ 1.00000000e+00 -8.32667268e-15]
 [ 1.46549439e-14  1.00000000e+00]
 [ 7.54951657e-15  1.00000000e+00]
 [ 1.00000000e+00  8.99280650e-15]
 [ 8.77076189e-15  1.00000000e+00]
 [ 1.75415238e-14  1.00000000e+00]
 [ 1.76525461e-14  1.00000000e+00]
 [ 8.32667268e-15  1.00000000e+00]
 [ 1.00000000e+00  5.55111512e-15]
 [ 9.10382880e-15  1.00000000e+00]
 [ 1.00000000e+00 -9.21485110e-15]
 [ 1.00000000e+00 -1.09912079e-14]
 [ 2.19824159e-14  1.00000000e+00]
 [ 1.16573418e-14  1.00000000e+00]
 [ 1.18793864e-14  1.00000000e+00]
 [ 2.24265051e-14  1.00000000e+00]
 [ 1.90958360e-14  1.00000000e+00]
 [ 1.00000000e+00  6.10622664e-15]
 [ 5.77315973e-15  1.00000000e+00]
 [ 2.26485497e-14  1.00000000e+00]
 [ 1.52100554e-14  1.00000000e+00]
 [ 5.88418203e-15  1.00000000e+00]
 [ 7.32747196e-15  1.00000000e+00]
 [-3.33066907e-16  1.00000000e+00]
 [ 1.00000000e+00 -2.22044605e-15]
 [ 1.42108547e-14  1.00000000e+00]
 [ 1.56541446e-14  1.00000000e+00]
 [ 1.37667655e-14  1.00000000e+00]
 [ 2.99760217e-14  1.00000000e+00]
 [ 1.00000000e+00 -5.10702591e-15]
 [ 2.23154828e-14  1.00000000e+00]
 [ 1.00000000e+00  6.77236045e-15]
 [ 1.00000000e+00  5.21804822e-15]
 [ 1.69864123e-14  1.00000000e+00]]
