[[-7.91260391e-11  1.00000000e+00  1.81898940e-10]
 [ 1.00000000e+00  4.42014425e-10  1.83717930e-10]
 [-9.27684596e-11  4.96584107e-10  1.00000000e+00]
 [-5.00222086e-11  1.00000000e+00  1.43700163e-10]
 [-6.91215973e-11  1.00000000e+00  1.32786226e-10]
 [-6.91215973e-11  5.82076609e-10  1.00000000e+00]
 [ 1.00000000e+00  5.09317033e-10  1.30967237e-10]
 [-5.45696821e-11  1.00000000e+00  1.54614099e-10]
 [-7.09405867e-11  5.72981662e-10  1.00000000e+00]
 [-7.18500814e-11  6.05723471e-10  1.00000000e+00]
 [ 1.00000000e+00  5.12955012e-10  1.25510269e-10]
 [-6.54836185e-11  1.00000000e+00  1.38243195e-10]
 [-7.63975549e-11  1.00000000e+00  1.92812877e-10]
 [-8.18545232e-11  5.74800652e-10  1.00000000e+00]
 [-9.09494702e-11  5.20230969e-10  1.00000000e+00]
 [-5.82076609e-11  5.92990546e-10  1.00000000e+00]
 [ 1.00000000e+00  4.28372005e-10  1.61890057e-10]
 [ 1.00000000e+00  5.05679054e-10  1.01863407e-10]
 [ 1.00000000e+00  4.38376446e-10  1.61890057e-10]
 [-8.27640179e-11  5.43877832e-10  1.00000000e+00]
 [ 1.00000000e+00  4.55656846e-10  1.16415322e-10]
 [ 1.00000000e+00  4.47471393e-10  1.83717930e-10]
 [ 1.00000000e+00  5.21140464e-10  1.07320375e-10]
 [ 1.00000000e+00  5.22049959e-10  1.52795110e-10]
 [-6.09361450e-11  5.86624083e-10  1.00000000e+00]
 [ 1.00000000e+00  4.79303708e-10  1.61890057e-10]
 [-5.91171556e-11  1.00000000e+00  9.91349225e-11]
 [ 1.00000000e+00  5.07498044e-10  1.05501385e-10]
 [ 1.00000000e+00  4.85670171e-10  1.54614099e-10]
 [-7.82165444e-11  5.83895599e-10  1.00000000e+00]
 [-6.73026079e-11  1.00000000e+00  1.25510269e-10]
 [-6.27551344e-11  1.00000000e+00  1.14596332e-10]
 [ 1.00000000e+00  4.80213203e-10  1.34605216e-10]
 [-8.64019967e-11  5.79348125e-10  1.00000000e+00]
 [-7.18500814e-11  1.00000000e+00  1.60071068e-10]
 [ 1.00000000e+00  5.12955012e-10  1.00044417e-10]
 [ 1.00000000e+00  5.05679054e-10  1.32786226e-10]
 [-4.82032192e-11  1.00000000e+00  1.38243195e-10]
 [-9.36779543e-11  5.82076609e-10  1.00000000e+00]
 [-7.54880602e-11  5.32963895e-10  1.00000000e+00]
 [-1.01863407e-10  5.47515810e-10  1.00000000e+00]
 [ 1.00000000e+00  5.22049959e-10  1.49157131e-10]
 [-7.00310920e-11  1.00000000e+00  2.02817318e-10]
 [ 1.00000000e+00  4.98403097e-10  1.30967237e-10]
 [ 1.00000000e+00  4.74756234e-10  1.56433089e-10]
 [-7.73070497e-11  6.09361450e-10  1.00000000e+00]
 [-8.36735126e-11  1.00000000e+00  1.05501385e-10]
 [-6.18456397e-11  6.34827302e-10  1.00000000e+00]
 [-9.18589649e-11  5.06588549e-10  1.00000000e+00]]
