[[-5.10434072e-01 -5.31782794e-01  1.04781243e+00]
 [-1.07772727e-01  1.21972025e+00 -1.10790835e+00]
 [-1.12522156e+00 -1.78046853e+00  2.91170007e+00]
 [ 1.41752971e+00 -3.71319031e+00  2.30068335e+00]
 [-7.45274371e-01  8.17025076e-01 -6.63643565e-02]
 [ 7.48035546e-01 -7.94131892e-01  5.13023224e-02]
 [ 8.95408500e-01  3.14731172e-02 -9.22258804e-01]
 [-4.51547187e-01 -3.97260448e+00  4.42925564e+00]
 [ 5.46982562e-01 -1.32590859e+00  7.84854936e-01]
 [-2.67280722e-01  4.39979755e+00 -4.12902443e+00]
 [-1.59059459e-01 -1.05243637e+00  1.21642850e+00]
 [ 1.02378587e+00  1.65405858e+00 -2.67273322e+00]
 [-1.52104997e+00  3.87416880e+00 -2.34851625e+00]
 [ 2.17610329e+00  5.64711974e+00 -7.81953710e+00]
 [-6.37406958e-01  2.03621049e+00 -1.39444576e+00]
 [ 1.21863360e+00 -1.20639539e+00 -7.41924757e-03]
 [ 6.08675974e-01  3.73041066e+00 -4.33510844e+00]
 [-1.17669069e+00  1.68525783e+00 -5.04217727e-01]
 [ 1.76819940e+00 -4.55419114e+00  2.78981448e+00]
 [-1.20995131e-01  5.40629490e+00 -5.28097476e+00]
 [ 3.07390713e-01 -1.95839059e+00  1.65596759e+00]
 [ 2.57375747e-01 -7.28397009e-01  4.75962013e-01]
 [ 1.29582054e+00  2.31346671e+00 -3.60484934e+00]
 [-7.58596616e-01  1.30048206e+00 -5.36112162e-01]
 [-8.49442136e-01  1.65716405e+00 -8.02071535e-01]
 [ 2.66892460e-01  1.99410497e-01 -4.60411858e-01]
 [ 2.07516734e-01 -1.95757049e-01 -5.94016193e-03]
 [ 5.65026759e-01 -1.19161498e-01 -4.40834456e-01]
 [ 2.67211789e-02 -1.57367306e+00  1.55169735e+00]
 [ 9.07459473e-01 -1.16827786e+00  2.65958650e-01]
 [-1.46844986e+00  1.02186415e+01 -8.74640041e+00]
 [-5.13526798e-01  1.73807773e+00 -1.21921101e+00]
 [ 1.18717886e+00 -5.83305077e+00  4.64958729e+00]
 [-8.58033012e-02 -3.22932465e+00  3.32097942e+00]
 [-6.77817698e-01  1.05547153e+00 -3.71417106e-01]
 [-1.32868053e+00  1.37370655e+00 -4.05115571e-02]
 [ 4.29275899e-01 -3.92059730e+00  3.49713039e+00]
 [-1.28652085e+00  4.50133196e+00 -3.20996310e+00]
 [-6.95203163e-01  1.59478670e+00 -8.94124337e-01]
 [ 8.70948928e-01  3.07273514e+00 -3.93972423e+00]
 [-4.34338032e-03 -1.26624885e+00  1.27562787e+00]
 [-5.10901873e-01 -9.91635679e-02  6.16073705e-01]
 [-1.31774969e+00  7.38577158e+00 -6.06331836e+00]
 [ 4.30605882e-02  2.09608351e+00 -2.13463185e+00]
 [-1.51663367e-01  5.44066221e-02  1.02195818e-01]
 [-2.91776522e+00 -2.38115806e+00  5.30441585e+00]
 [ 7.45936025e-01  9.95682892e-02 -8.40650692e-01]
 [-6.80253939e-02 -6.76188310e-01  7.49885100e-01]
 [-2.42515984e-01  2.18379060e+00 -1.93613155e+00]
 [-5.14968762e-01 -8.47252984e-01  1.36724641e+00]
 [ 1.49436769e+00 -2.44755248e+00  9.58208647e-01]
 [-4.93066680e-01  3.31550956e+00 -2.81862117e+00]
 [-8.19340054e-01  7.65404327e-01  5.77777459e-02]
 [ 8.90993622e-01 -7.52390039e+00  6.63770288e+00]
 [-6.74709983e-01 -2.51400478e+00  3.19387514e+00]
 [-4.96843691e-01 -1.55984807e+00  2.06164537e+00]
 [-1.18427761e-01 -1.08337160e+00  1.20691081e+00]
 [ 1.45666856e-01 -3.85059577e-01  2.44799136e-01]
 [ 4.75832040e-01 -3.95445378e+00  3.48408646e+00]
 [ 9.69630400e-01 -1.13291907e+00  1.68247693e-01]
 [-8.19594260e-01  3.05148913e-01  5.19529121e-01]
 [-1.84393247e+00 -2.33060735e+00  4.17951029e+00]
 [ 2.44312840e-01  7.95721776e-03 -2.46692902e-01]
 [-1.46241626e+00  8.33205464e+00 -6.86465596e+00]
 [ 2.05502743e-01 -2.12788854e-01  1.15685035e-02]
 [ 1.14506250e+00 -1.44210887e+00  3.00671211e-01]
 [-6.39166278e-02  1.08151233e+00 -1.01259886e+00]
 [ 3.08305774e-01 -2.21596495e+00  1.91187758e+00]
 [-5.18529779e-02 -1.73153885e+00  1.78816301e+00]
 [-4.48390006e-02 -5.03902289e-01  5.54314339e-01]
 [-1.15464778e+00  1.02803874e+00  1.32416049e-01]
 [-5.27573089e-02 -1.80940852e+00  1.86687845e+00]
 [ 1.80821461e-01  3.12760097e+00 -3.30425877e+00]
 [ 7.10852064e-01 -1.32357371e+00  6.18209594e-01]
 [ 2.00541585e+00 -7.46317379e+00  5.46357435e+00]
 [ 2.46769637e-01 -1.70828502e+00  1.46803738e+00]
 [-1.78298109e-01  6.90939138e-01 -5.07221010e-01]
 [-2.97034996e-01  2.48168885e+00 -2.18035134e+00]
 [ 2.64086818e+00 -3.58548984e+00  9.48462575e-01]
 [ 2.67489648e-01 -4.44969889e+00  4.18807162e+00]
 [-1.00739129e+00 -4.99099645e-01  1.51125426e+00]
 [-1.29828551e+00  4.27934487e-01  8.75890440e-01]
 [ 2.92877388e+00 -2.74440676e+00 -1.80369347e-01]
 [-2.57312128e-01  1.17370327e+00 -9.11481249e-01]
 [ 1.75856402e-01 -6.00730632e-01  4.29305216e-01]
 [ 9.57065458e-01 -3.31115050e+00  2.35893227e+00]
 [-1.42020806e+00  4.12918213e-01  1.01347783e+00]
 [ 4.94517436e-01 -1.15047149e+00  6.61291004e-01]
 [ 3.31681184e-01 -1.58441329e+00  1.25743329e+00]
 [ 1.15737369e+00  1.28125505e+00 -2.43318172e+00]
 [ 1.97037363e-01 -2.49237049e+00  2.30000779e+00]
 [-1.56394967e+00 -9.81833891e-01  2.55042196e+00]
 [-2.81311799e-02 -1.29687911e+00  1.33029974e+00]
 [ 7.94700719e-01 -2.46892291e+00  1.67864722e+00]
 [ 2.16940317e+00 -8.97139244e+00  6.80706745e+00]
 [ 6.89310708e-01 -1.74141715e+00  1.05766596e+00]
 [-9.04651957e-01  2.76063870e+00 -1.85101670e+00]
 [ 9.14996660e-01 -2.89167830e+00  1.98167939e+00]
 [ 7.38010908e-03  3.94327264e-01 -3.97382519e-01]
 [ 7.90923054e-01 -2.08320584e+00  1.29865580e+00]
 [ 2.28384196e-01 -7.57332496e-01  5.33857066e-01]
 [-8.65816544e-01  5.88953667e+00 -5.01895223e+00]
 [-7.95099222e-01  1.39438065e+00 -5.95311713e-01]
 [-4.17287254e-03 -6.02810076e-01  6.12276387e-01]
 [-7.71096722e-01 -3.33815884e+00  4.11446342e+00]
 [-1.31149665e+00  4.41008679e+00 -3.09262502e+00]
 [ 3.81855543e-01 -6.71993028e-01  2.95285538e-01]
 [-4.73140167e-01 -3.72923469e-01  8.51429271e-01]
 [-6.44383393e-01  1.43414451e+00 -7.84345132e-01]
 [ 1.71782375e-01  4.61641846e-01 -6.27380170e-01]
 [-1.78191647e+00  7.46643591e+00 -5.68019276e+00]
 [ 7.46912446e-02 -7.11294550e-01  6.41077729e-01]
 [ 2.12306455e+00 -2.34337113e+00  2.24093176e-01]
 [-1.18114368e+00 -1.13453393e+00  2.32138165e+00]
 [-4.27812930e-01  1.46008308e-01  2.88468454e-01]
 [-9.77349835e-01  1.78158921e+00 -7.99079685e-01]
 [ 1.94296642e-01  1.26138127e+00 -1.45095957e+00]
 [ 9.90156157e-02 -2.60447803e-01  1.67063197e-01]
 [ 4.73598550e-01 -8.95717386e-01  4.27676548e-01]
 [ 1.46665227e+00 -2.47789172e-01 -1.21429188e+00]
 [ 6.26412634e-01 -2.58325996e-02 -5.96060994e-01]
 [ 1.79346752e+00 -6.71872597e+00  4.92978934e+00]
 [-5.96974763e-01  1.08531297e+00 -4.82595565e-01]
 [-1.07074296e+00  4.13860041e+00 -3.06192866e+00]
 [ 5.35510231e-01 -1.16347437e+01  1.11059413e+01]
 [-2.83583719e-01 -7.44739894e-01  1.03325239e+00]
 [ 1.23276768e+00 -5.03879751e+00  3.81125755e+00]
 [ 5.31286777e-01  3.46731629e+00 -3.99346777e+00]
 [ 1.66983042e+00 -1.81404249e+00  1.48249550e-01]
 [-7.80901683e-02 -7.19463484e-02  1.54746179e-01]
 [ 1.97144276e+00 -3.40655038e+00  1.44030528e+00]
 [-5.01109362e-01  2.45984070e-01  2.60465168e-01]
 [-4.32879886e-01 -1.84513496e+00  2.28216829e+00]
 [-1.00339248e+00  1.96145323e+00 -9.51399074e-01]
 [ 4.88569025e-01 -5.43299069e-01  5.97570607e-02]
 [-7.70920072e-01  2.59451570e+00 -1.81779106e+00]
 [ 1.26891746e+00 -1.00728933e+00 -2.57052843e-01]
 [-1.73850169e+00  3.89886249e-01  1.35472609e+00]
 [-6.49164393e-01 -1.86007010e+00  2.51531104e+00]
 [ 1.32043041e-01  1.39844863e+00 -1.52619938e+00]
 [ 1.80362156e-01 -9.83686156e-01  8.08358894e-01]
 [ 1.48823622e+00  3.79631865e-02 -1.52218757e+00]
 [-4.82567006e-01  6.93154120e-01 -2.05046309e-01]
 [ 7.78692421e-01 -3.45132011e+00  2.67709080e+00]
 [ 4.92547448e-01 -6.94305767e-01  2.06842177e-01]
 [ 4.84877411e-01 -2.90450213e+00  2.42440566e+00]
 [ 2.33134732e-01 -6.10364459e-01  3.83114225e-01]
 [-2.08758434e-01 -6.08577714e-01  8.21387209e-01]
 [ 5.52968854e-01 -4.15204402e+00  3.60498127e+00]
 [ 2.96633464e-01 -2.62220434e-02 -2.64993253e-01]
 [ 2.54152918e-01  1.03447412e-01 -3.52430256e-01]
 [ 1.10725745e+00 -1.80884043e+00  7.05568503e-01]
 [-3.44153977e-01 -1.18169362e+00  1.53030510e+00]
 [-3.06886175e-01  2.59091646e+00 -2.27881997e+00]
 [ 1.07426163e+00 -3.00729482e+00  1.93709029e+00]
 [ 1.77277876e-01 -1.79541984e+00  1.62229214e+00]
 [ 1.03836313e-01 -1.71415643e+00  1.61546202e+00]
 [-2.84944345e-01  1.47713477e+00 -1.18721380e+00]
 [ 6.27081886e-01 -1.22988600e+00  6.07869060e-01]
 [ 1.13774236e-01 -9.14868134e-02 -1.81399609e-02]
 [-6.10394712e-01  1.47286295e-01  4.68261463e-01]
 [ 8.69731071e-01 -2.90385952e-01 -5.74930798e-01]
 [ 1.31242760e-01  1.00046368e+00 -1.12615792e+00]
 [-5.39571550e-01  1.83403817e+00 -1.28915705e+00]
 [ 2.24135740e-01  4.20527669e-01 -6.39747963e-01]
 [-2.71581772e-01  3.58086877e+00 -3.30508661e+00]
 [-5.40320692e-01  2.97694707e+00 -2.43177126e+00]
 [-4.19980962e-01  3.93127090e-01  3.14819719e-02]
 [-1.41443755e+00  2.76931243e+00 -1.34965825e+00]
 [-9.77956454e-01  5.79109090e-02  9.25445740e-01]
 [-2.84113556e-01 -1.38494397e+00  1.67425302e+00]
 [ 3.64416776e-01  1.88063241e-01 -5.47211772e-01]
 [ 4.16311156e-01  1.52847411e+00 -1.94005918e+00]
 [-5.31705579e-01  4.98275466e-01  3.89891035e-02]
 [-8.99180121e-01  9.08482947e-01 -4.38836621e-03]
 [ 7.47882153e-01 -2.61038849e+00  1.86726541e+00]
 [-3.28038282e-01 -2.70428117e+00  3.03737444e+00]
 [ 6.50971800e-02  1.84656240e+00 -1.90663478e+00]
 [-6.17923334e-01  1.68719352e+00 -1.06553771e+00]
 [ 8.21704419e-01  4.29912418e-01 -1.24679630e+00]
 [-1.28405238e+00  2.35815162e+00 -1.06797218e+00]
 [ 3.44106425e-01 -2.69458633e-01 -7.04805905e-02]
 [ 2.88337575e+00 -3.92330717e+00  1.04428980e+00]
 [ 1.56006115e+00 -2.67421971e+00  1.11864014e+00]
 [ 1.40797381e+00 -1.53551008e+00  1.31399995e-01]
 [ 3.31812639e-01 -1.48089645e+00  1.15411617e+00]
 [ 2.06877435e+00 -2.42639533e+00  3.62566845e-01]
 [-6.17006415e-01  1.22569787e+00 -6.03915181e-01]
 [-4.19671794e-01  1.04811764e+00 -6.22826545e-01]
 [-2.01295465e+00  3.74643915e+00 -1.72779801e+00]
 [ 4.64661494e-01  1.45914072e+00 -1.91899109e+00]
 [-1.21496158e+00  6.77498480e+00 -5.55531189e+00]
 [ 1.45969142e+00 -2.66802588e+00  1.21325244e+00]
 [-8.05503491e-01  5.16545333e-01  2.93737106e-01]
 [-4.60231816e-01  2.08629999e+00 -1.62036785e+00]
 [-7.39276492e-01  3.92835030e+00 -3.18317812e+00]
 [ 7.70218553e-02 -1.33390792e-01  6.07132479e-02]
 [-9.49573691e-01  2.94167383e+00 -1.98681926e+00]
 [-1.47508997e-01 -3.66427956e-01  5.20147453e-01]
 [ 4.38621688e-01 -7.98440549e-01  3.64676997e-01]
 [-9.65878325e-01  1.44774449e+00 -4.76594627e-01]
 [-5.80352235e-01  2.02649941e+00 -1.44082313e+00]
 [-5.65192244e-01  3.21878299e+00 -2.64860914e+00]
 [-2.77155571e-01 -1.34261528e+00  1.62478454e+00]
 [-3.02791012e-01  8.73072018e-01 -5.65676060e-01]
 [ 1.17094173e+00 -4.04119899e+00  2.87624939e+00]
 [-2.35409819e+00  1.02992266e+01 -7.93934519e+00]
 [-4.62907507e-01  1.01599113e+00 -5.47609272e-01]
 [ 1.51439518e-01  1.33332770e+00 -1.47921997e+00]
 [-2.94525545e-01  1.41452470e+00 -1.11568019e+00]
 [ 3.17513716e-01  2.69823319e+00 -3.01201739e+00]
 [-1.28610611e+00  4.64075088e+00 -3.34953815e+00]
 [-2.14442637e+00  2.44230448e+00 -2.93424031e-01]
 [ 7.66967132e-01 -1.78275056e+00  1.02136596e+00]
 [-1.67015844e+00  6.94313970e+00 -5.26710639e+00]
 [ 1.43624780e+00 -3.64257144e+00  2.21159800e+00]
 [-1.29784939e+00  5.05878603e+00 -3.75566885e+00]
 [-2.11323515e-01 -7.84528460e-01  1.00015390e+00]
 [-4.09250692e-01 -1.36080202e+00  1.77622761e+00]
 [ 6.79320816e-01 -3.24034809e+00  2.56521501e+00]
 [-1.94984260e-01  7.89850826e-01 -5.89378904e-01]
 [-9.54284440e-01  1.94000812e+00 -9.80193319e-01]
 [ 1.23771244e-01  4.45775747e-01 -5.64022819e-01]
 [ 9.67799986e-01  3.31522678e-01 -1.29469495e+00]
 [-6.23574587e-01  1.35817036e+00 -7.30327288e-01]
 [-2.61942772e-01 -1.02654525e+00  1.29239524e+00]
 [-2.14101688e-01  1.83153047e+00 -1.61305821e+00]
 [-7.31250926e-01  6.47369955e+00 -5.73711673e+00]
 [-9.70084165e-01  2.62755245e-01  7.14192411e-01]
 [ 6.47615305e-01 -9.37991558e-01  2.95602550e-01]
 [-4.94755968e-01  8.33978940e-01 -3.34835357e-01]
 [ 1.07587762e+00 -2.40906789e+00  1.33696292e+00]
 [-1.13700780e+00  2.72329413e+00 -1.58006795e+00]
 [-2.37768705e+00  1.85496907e+00  5.28196857e-01]
 [-1.54947337e-01 -1.55793826e+00  1.71855348e+00]
 [ 1.02220009e+00 -2.58470413e+00  1.56673652e+00]
 [-1.51704155e-01  1.24806418e+00 -1.09141703e+00]
 [-1.56557085e-01 -2.42091096e+00  2.58254293e+00]
 [-6.41116719e-01 -7.71733083e-01  1.41755071e+00]
 [-2.21705657e-01 -1.67564837e+00  1.90205638e+00]
 [ 8.15127921e-01 -1.82116061e+00  1.01049837e+00]
 [-7.46771540e-01  2.89155443e+00 -2.13876608e+00]
 [ 6.88219606e-01  7.75300581e-01 -1.45910472e+00]
 [ 8.16781913e-01 -4.02171589e+00  3.20963246e+00]
 [-7.56831394e-01  2.80924914e+00 -2.04628211e+00]
 [ 5.55649024e-01 -1.76976087e+00  1.21884026e+00]
 [ 6.78857945e-01 -1.61204568e+00  9.38013656e-01]
 [-3.08879457e-01  7.47595880e-01 -4.34559088e-01]
 [ 7.25685754e-01 -2.68923363e+00  1.96825270e+00]
 [ 1.00446064e+00  3.94669399e+00 -4.94798897e+00]
 [ 2.75962610e-01  1.28011567e+00 -1.55127601e+00]
 [-2.27447857e-01 -2.53723396e+00  2.76873924e+00]
 [-2.34490610e-01 -1.09634668e+00  1.33562804e+00]
 [ 4.98800556e-01  1.64411104e+00 -2.13732519e+00]]
