[[ 1.81898940e-10  1.00000000e+00  1.45519152e-10]
 [ 1.85536919e-10  1.00000000e+00  9.09494702e-11]
 [ 1.89174898e-10  1.00000000e+00  9.09494702e-11]
 [ 2.07364792e-10 -3.92901711e-10  1.00000000e+00]
 [ 1.89174898e-10  1.00000000e+00  3.27418093e-11]
 [ 2.07364792e-10 -2.11002771e-10  1.00000000e+00]
 [ 2.14640750e-10 -3.20142135e-10  1.00000000e+00]
 [ 2.11002771e-10 -2.69210432e-10  1.00000000e+00]
 [ 1.00000000e+00 -2.98314262e-10  1.09139364e-11]
 [ 2.00088834e-10 -3.92901711e-10  1.00000000e+00]
 [ 1.00000000e+00 -2.76486389e-10  2.18278728e-11]
 [ 1.00000000e+00 -4.29281499e-10  3.63797881e-11]
 [ 1.00000000e+00 -2.83762347e-10 -1.09139364e-11]
 [ 2.11002771e-10 -3.12866177e-10  1.00000000e+00]
 [ 1.78260962e-10  1.00000000e+00  2.54658516e-11]
 [ 2.18278728e-10  1.00000000e+00  5.82076609e-11]
 [ 2.11002771e-10  1.00000000e+00  1.60071068e-10]
 [ 1.00000000e+00 -3.05590220e-10  5.09317033e-11]
 [ 1.00000000e+00 -3.63797881e-10  6.91215973e-11]
 [ 1.00000000e+00 -2.98314262e-10  7.27595761e-12]
 [ 1.92812877e-10 -3.05590220e-10  1.00000000e+00]
 [ 2.36468622e-10  1.00000000e+00  9.09494702e-11]
 [ 1.00000000e+00 -2.69210432e-10  7.27595761e-12]
 [ 1.00000000e+00 -3.49245965e-10  5.45696821e-11]
 [ 2.03726813e-10  1.00000000e+00  5.82076609e-11]
 [ 1.78260962e-10 -3.27418093e-10  1.00000000e+00]
 [ 1.96450856e-10 -4.14729584e-10  1.00000000e+00]
 [ 2.11002771e-10  1.00000000e+00  8.00355338e-11]
 [ 2.21916707e-10  1.00000000e+00  1.41881173e-10]
 [ 1.00000000e+00 -2.18278728e-10  3.27418093e-11]]
