[[ 7.73070497e-11  1.00000000e+00 -4.00177669e-11]
 [ 5.91171556e-11  1.00000000e+00 -3.27418093e-11]
 [ 1.00000000e+00  0.00000000e+00 -3.63797881e-11]
 [ 9.73159331e-11  9.09494702e-11  1.00000000e+00]
 [ 6.91215973e-11  9.09494702e-11  1.00000000e+00]
 [ 9.54969437e-11  1.05501385e-10  1.00000000e+00]
 [ 1.00000000e+00  3.27418093e-11  3.63797881e-11]
 [ 1.00000000e+00  1.81898940e-11 -3.27418093e-11]
 [ 1.00000000e+00  2.54658516e-11  3.63797881e-12]
 [ 5.18411980e-11  1.00000000e+00  7.27595761e-12]
 [ 1.00000000e+00  2.18278728e-11 -1.45519152e-11]
 [ 8.73114914e-11  7.27595761e-11  1.00000000e+00]
 [ 6.54836185e-11  1.00000000e+00  4.00177669e-11]
 [ 7.00310920e-11  4.72937245e-11  1.00000000e+00]
 [ 1.00000000e+00  4.72937245e-11  1.45519152e-11]
 [ 9.27684596e-11  1.00000000e+00  2.54658516e-11]
 [ 8.64019967e-11  4.72937245e-11  1.00000000e+00]
 [ 1.01863407e-10  1.12777343e-10  1.00000000e+00]
 [ 1.00000000e+00 -7.27595761e-12  8.00355338e-11]
 [ 8.18545232e-11  6.91215973e-11  1.00000000e+00]
 [ 8.91304808e-11  1.00000000e+00  4.00177669e-11]
 [ 1.00000000e+00  6.18456397e-11  0.00000000e+00]
 [ 8.73114914e-11  1.00000000e+00 -7.27595761e-12]
 [ 4.82032192e-11  1.00000000e+00 -3.63797881e-12]
 [ 8.09450285e-11  1.00000000e+00 -3.27418093e-11]
 [ 1.00000000e+00  5.09317033e-11  5.09317033e-11]
 [ 1.00000000e+00  2.54658516e-11 -8.36735126e-11]
 [ 7.36690708e-11  1.00000000e+00 -1.09139364e-11]
 [ 1.00000000e+00  0.00000000e+00  5.82076609e-11]
 [ 7.09405867e-11  1.00000000e+00  0.00000000e+00]
 [ 9.27684596e-11  8.73114914e-11  1.00000000e+00]
 [ 1.11867848e-10  1.00000000e+00 -2.18278728e-11]
 [ 1.00000000e+00  1.45519152e-11  5.45696821e-11]
 [ 1.00000000e+00  8.36735126e-11 -3.63797881e-12]
 [ 9.00399755e-11  1.00000000e+00  2.18278728e-11]
 [ 1.14596332e-10  9.09494702e-11  1.00000000e+00]
 [ 1.00000000e+00  3.63797881e-11  7.27595761e-11]
 [ 8.27640179e-11  9.09494702e-11  1.00000000e+00]
 [ 8.73114914e-11  1.05501385e-10  1.00000000e+00]
 [ 9.27684596e-11  1.00000000e+00  7.27595761e-12]
 [ 9.73159331e-11  1.05501385e-10  1.00000000e+00]
 [ 8.64019967e-11  8.73114914e-11  1.00000000e+00]
 [ 9.27684596e-11  1.00000000e+00 -1.09139364e-11]
 [ 8.82209861e-11  1.00000000e+00  1.81898940e-11]
 [ 6.91215973e-11  1.00000000e+00 -1.45519152e-11]
 [ 7.82165444e-11  4.36557457e-11  1.00000000e+00]
 [ 8.82209861e-11  1.05501385e-10  1.00000000e+00]
 [ 1.00953912e-10  1.00000000e+00 -3.27418093e-11]
 [ 6.36646291e-11  6.54836185e-11  1.00000000e+00]
 [ 1.07320375e-10  1.09139364e-10  1.00000000e+00]
 [ 1.00000000e+00 -4.00177669e-11  2.54658516e-11]
 [ 7.27595761e-11  1.00000000e+00 -3.27418093e-11]
 [ 7.36690708e-11  1.00000000e+00  0.00000000e+00]
 [ 6.82121026e-11  7.27595761e-11  1.00000000e+00]
 [ 6.63931132e-11  1.00000000e+00 -2.54658516e-11]
 [ 8.27640179e-11  1.00000000e+00  7.27595761e-12]
 [ 1.00000000e+00  2.54658516e-11  4.00177669e-11]
 [ 6.54836185e-11  1.00000000e+00 -1.81898940e-11]
 [ 8.45830073e-11  6.54836185e-11  1.00000000e+00]
 [ 6.73026079e-11  9.82254278e-11  1.00000000e+00]
 [ 9.18589649e-11  3.63797881e-12  1.00000000e+00]
 [ 1.04591891e-10  1.00000000e+00 -7.27595761e-12]
 [ 8.45830073e-11  6.18456397e-11  1.00000000e+00]
 [ 1.00000000e+00  2.54658516e-11 -3.63797881e-12]
 [ 1.00000000e+00  4.36557457e-11  3.63797881e-11]
 [ 1.00000000e+00 -1.81898940e-11  4.72937245e-11]
 [ 5.82076609e-11  7.27595761e-11  1.00000000e+00]
 [ 7.82165444e-11  5.82076609e-11  1.00000000e+00]
 [ 1.00000000e+00  3.63797881e-12  5.45696821e-11]
 [ 1.00000000e+00 -1.09139364e-11  4.72937245e-11]
 [ 8.18545232e-11  1.00000000e+00 -1.45519152e-11]
 [ 1.00000000e+00  1.81898940e-11  4.00177669e-11]
 [ 8.73114914e-11  8.36735126e-11  1.00000000e+00]
 [ 1.22781785e-10  1.30967237e-10  1.00000000e+00]
 [ 9.09494702e-11  1.00000000e+00  2.91038305e-11]
 [ 1.00000000e+00  1.81898940e-11  5.45696821e-11]
 [ 1.00000000e+00  5.45696821e-11  4.00177669e-11]
 [ 6.36646291e-11  1.00000000e+00 -6.18456397e-11]
 [ 8.18545232e-11  1.09139364e-10  1.00000000e+00]
 [ 1.00044417e-10  1.00000000e+00  2.18278728e-11]
 [ 1.00000000e+00  2.18278728e-11  1.81898940e-11]
 [ 1.00000000e+00 -7.27595761e-12  4.72937245e-11]
 [ 7.54880602e-11  1.00000000e+00 -3.63797881e-12]
 [ 9.45874490e-11  4.00177669e-11  1.00000000e+00]
 [ 1.00000000e+00  6.18456397e-11 -5.82076609e-11]
 [ 8.18545232e-11  1.38243195e-10  1.00000000e+00]]
