[[ 0.74237721  0.25761529]
 [ 0.44601678  0.55387581]
 [ 0.48157321  0.51842518]
 [ 0.77298257  0.22697911]
 [ 0.49132461  0.50863633]
 [ 0.4804796   0.51955051]
 [ 0.63184033  0.36820502]
 [ 0.66753444  0.33246326]
 [ 0.47498957  0.52501071]
 [ 0.3756422   0.62438141]
 [ 0.9542094   0.04596633]
 [ 0.5279907   0.47203125]
 [ 0.82960419  0.17027754]
 [-0.62917951  1.62906294]
 [ 0.62542191  0.3746441 ]
 [ 0.3467886   0.6531889 ]
 [ 0.38057366  0.61946899]
 [-0.08576099  1.08583549]
 [ 0.44792907  0.55208418]
 [ 0.75589159  0.24411731]
 [ 0.09472842  0.90540983]
 [ 0.46262984  0.53734472]
 [ 0.37288452  0.62710853]
 [ 0.25647085  0.74356942]
 [ 0.05383037  0.94612036]
 [ 0.42768682  0.57232034]
 [ 0.60025722  0.39974739]
 [ 0.72229717  0.27778275]
 [ 0.56933677  0.4306714 ]
 [ 0.62301223  0.37704856]
 [-0.08756385  1.08747142]
 [ 0.90767845  0.09226099]
 [ 0.48899183  0.5110502 ]
 [ 0.60770363  0.39225256]
 [ 0.20424545  0.79575819]
 [ 0.71060923  0.28948584]
 [ 0.69362049  0.30641245]
 [ 0.65682934  0.34320385]
 [ 0.56607295  0.43392916]
 [ 0.36391483  0.63610295]
 [ 0.68487729  0.31518347]
 [ 0.84489158  0.15512067]
 [ 0.52944089  0.47057425]
 [ 0.82259256  0.17749109]
 [ 0.23258021  0.76739311]
 [ 0.93046637  0.06953994]
 [ 0.14540704  0.85456478]
 [ 0.06990892  0.92994906]
 [-0.1228013   1.12284829]
 [ 0.65940546  0.3405612 ]
 [-0.41053005  1.41046324]
 [ 0.65540268  0.34457529]
 [ 0.21350634  0.78650641]
 [ 0.1050775   0.89476408]
 [ 0.35082423  0.64911469]
 [ 0.8045321   0.19549455]
 [-0.10055798  1.10035842]
 [-0.06807287  1.06811197]
 [ 0.27464006  0.72561255]
 [-0.42383572  1.42374023]
 [ 0.73009147  0.26994286]
 [ 0.78527897  0.21474965]
 [ 0.56081023  0.43930443]
 [ 1.04233629 -0.0423514 ]
 [ 0.05967836  0.94031021]
 [ 0.41386044  0.58617404]
 [ 0.64512285  0.35499454]
 [ 0.52881296  0.47122974]
 [ 0.51107439  0.48896472]
 [ 0.79835761  0.20169838]
 [ 0.53979052  0.46009837]
 [ 0.58205558  0.41787337]
 [ 0.54499889  0.45497308]
 [ 0.17678652  0.82321827]
 [ 0.58858344  0.41144184]
 [ 0.59064033  0.40931611]
 [-0.10489532  1.10494762]
 [ 0.61195407  0.38804442]
 [ 0.81164336  0.1883406 ]
 [ 0.19716339  0.80279498]
 [ 0.48111677  0.51886371]
 [ 0.09298861  0.90712802]
 [ 0.84586845  0.15407611]
 [ 0.78453007  0.21546747]
 [ 0.1264452   0.87343116]
 [ 0.60680416  0.39316428]
 [ 0.62740158  0.37261174]
 [ 0.7516028   0.24865062]
 [ 0.40577303  0.59432332]
 [ 0.76660346  0.23330286]
 [ 0.81244242  0.18747908]
 [-0.05358205  1.05360762]
 [ 0.47919319  0.52076895]
 [ 0.75617992  0.24371523]
 [ 0.07576732  0.92436043]
 [ 0.63971199  0.3602546 ]
 [ 0.63250319  0.36750019]
 [ 0.30851652  0.69134899]
 [ 0.59703272  0.40300129]
 [ 0.63589156  0.36406973]
 [ 0.22795196  0.77191125]
 [ 0.77839336  0.22163753]
 [-0.01518132  1.0152091 ]
 [ 0.88287838  0.1169972 ]
 [ 0.11108314  0.88878313]
 [ 0.53434271  0.46555262]
 [ 0.55190253  0.44798681]
 [ 0.56038395  0.43960503]
 [ 0.9659434   0.03400675]
 [ 0.54493282  0.45517798]
 [-0.02596165  1.02600243]
 [ 0.59551796  0.40461469]
 [ 0.16890494  0.83120367]
 [ 0.84468193  0.15530979]
 [ 0.65725668  0.34276611]
 [ 0.31226964  0.68768914]
 [ 0.54648542  0.45350405]
 [ 0.60770741  0.39228573]
 [ 0.4295719   0.57045327]
 [ 0.80055474  0.19956739]
 [ 0.49111293  0.50880255]
 [ 0.6187986   0.38122902]
 [ 0.60846225  0.39156926]
 [ 0.01396748  0.98621072]
 [ 0.53458123  0.46539203]
 [ 1.04248311 -0.04244305]
 [ 0.75160331  0.24841836]
 [ 0.47265608  0.52726623]
 [ 0.92401254  0.07588711]
 [ 0.51676481  0.48323993]
 [ 0.73144734  0.26851565]
 [ 0.51411152  0.48589741]
 [ 0.5978078   0.40216454]
 [ 0.50097999  0.49892551]
 [ 0.47952031  0.52044981]
 [ 0.50814504  0.4917603 ]
 [ 0.36897     0.63122993]
 [ 0.57592418  0.42403311]
 [ 0.42076761  0.5791166 ]
 [ 0.21933909  0.78059428]
 [ 0.81654567  0.18352768]
 [ 1.22183688 -0.22168071]
 [ 0.6092294   0.39070514]
 [ 0.33838122  0.66151203]
 [ 0.39867049  0.60142352]
 [ 0.05364858  0.94623675]
 [ 0.05993974  0.94009914]
 [ 0.50408787  0.49575504]
 [-0.04742373  1.04745725]
 [ 0.65732695  0.34273181]
 [ 0.18056279  0.8193797 ]
 [ 0.2677306   0.73220024]
 [ 0.58994825  0.41008414]
 [ 0.72824218  0.27171046]
 [ 0.54776787  0.45220265]
 [ 0.00451662  0.99531094]
 [ 0.03289756  0.96708924]
 [ 0.17390997  0.82608784]
 [ 0.24841561  0.75170844]
 [ 0.040558    0.95941248]
 [ 0.68702488  0.31293818]
 [ 0.60045403  0.39953644]
 [ 0.47631426  0.52360332]
 [ 0.56226976  0.43734758]
 [ 0.78750145  0.21248133]
 [ 0.46909992  0.53085381]
 [ 0.76500773  0.23496731]
 [ 0.72380344  0.27612801]
 [ 0.76363651  0.23632568]
 [ 0.2039951   0.79591384]
 [ 0.74924663  0.25081411]
 [ 0.66575205  0.33420449]
 [ 0.61772836  0.38228165]
 [ 0.50297541  0.49700288]
 [ 1.1183742  -0.11841654]
 [ 0.47884124  0.52112558]
 [ 0.73238086  0.26762181]
 [ 0.39984859  0.60009752]
 [ 0.65769252  0.34227716]
 [-0.10992039  1.11001636]
 [-0.28434904  1.28451002]
 [ 0.58762029  0.41241907]
 [ 0.20318556  0.7968774 ]
 [ 0.21857796  0.78137716]
 [ 0.68675441  0.31314941]
 [ 0.246729    0.75315735]
 [ 0.28420841  0.71573055]
 [ 0.51583397  0.4842029 ]
 [ 0.62765131  0.37237568]
 [-0.40014041  1.40016637]
 [ 0.32920051  0.67076262]
 [ 0.74740251  0.25259179]
 [ 0.30641712  0.69359588]
 [ 0.5298742   0.47005957]
 [ 0.62546378  0.37458766]
 [ 0.85605755  0.14391558]
 [ 0.78477834  0.2151947 ]
 [ 0.45078785  0.54928372]
 [ 0.81715551  0.18280549]
 [ 0.52774306  0.47226836]
 [-0.12066482  1.12066132]
 [ 0.79705018  0.20285955]
 [ 0.59299447  0.40701389]
 [ 0.68902842  0.3110435 ]
 [ 0.60686762  0.39318143]
 [-0.07183442  1.07169315]
 [ 0.39464908  0.60547625]
 [ 0.24977721  0.75043639]
 [ 0.30605308  0.69396828]
 [-0.17679236  1.17670595]
 [-0.12861107  1.12853353]
 [ 0.35272729  0.64720163]
 [ 0.39453493  0.60540686]
 [ 0.37541549  0.62463378]
 [ 0.55393463  0.44609077]
 [ 0.41921779  0.58085355]
 [ 0.59430706  0.40581526]
 [ 0.64133563  0.35865138]
 [ 0.14024741  0.85973209]
 [ 0.85855132  0.14159149]
 [ 0.22045713  0.77961354]
 [ 0.78936553  0.21055484]
 [ 0.51058807  0.48935787]
 [ 0.18375039  0.8163172 ]
 [ 0.63688875  0.36300881]
 [ 0.48880545  0.51136304]
 [ 0.59143499  0.40859877]
 [ 0.62615449  0.37378308]
 [ 0.64688742  0.35300979]
 [ 0.56043256  0.43958033]
 [ 0.60327857  0.396752  ]
 [ 0.57474107  0.42518072]
 [-0.1388983   1.13900029]
 [ 0.51964059  0.48037913]
 [ 0.40050699  0.59949633]
 [ 0.97989012  0.0201637 ]
 [ 0.09426895  0.90576121]
 [ 0.50660618  0.49327766]
 [ 0.46107034  0.53886045]
 [ 0.869359    0.13068003]
 [ 0.66723918  0.33282463]
 [ 0.7636592   0.23634745]
 [ 0.49824822  0.50172452]
 [ 0.10823934  0.89168858]
 [ 0.48643313  0.51347904]
 [ 0.58542366  0.41458096]
 [ 0.7161692   0.28383883]
 [ 0.75192466  0.24813328]
 [ 0.09959926  0.89988027]
 [ 0.55690069  0.44305976]
 [ 0.51892033  0.48101516]
 [ 0.77842518  0.22161409]
 [ 0.4418139   0.55832612]
 [ 0.81594592  0.18408253]
 [ 0.5370666   0.46286904]
 [-0.0315558   1.03149699]
 [ 0.74308783  0.25697989]
 [ 0.3598027   0.64027601]
 [ 0.16932053  0.83056461]
 [ 0.78288321  0.21728324]
 [ 0.54641176  0.45359793]
 [ 0.64323716  0.3569768 ]
 [ 0.29204884  0.70790051]
 [ 0.12010606  0.87987456]
 [ 0.59636139  0.40365548]
 [ 0.55022882  0.44983175]
 [ 0.61633992  0.38356607]
 [-0.08882589  1.08887614]
 [ 0.70930697  0.29087215]
 [ 0.73450463  0.26552047]
 [ 0.22343784  0.7765431 ]
 [ 0.47855673  0.52149282]
 [-0.00585936  1.00583162]
 [ 0.4990092   0.5010642 ]
 [ 0.73893953  0.26108167]
 [ 0.87856374  0.12155317]
 [-0.01667836  1.01655771]
 [ 0.39682749  0.60314777]
 [ 0.44700139  0.55302966]
 [ 0.46526405  0.53477658]
 [ 0.49469853  0.5053605 ]
 [ 0.20535381  0.7947155 ]
 [ 0.17519228  0.82481026]
 [ 0.15832174  0.84193574]
 [ 0.87348318  0.12642899]
 [ 0.24147893  0.758709  ]
 [ 0.75088311  0.24910867]
 [ 0.35562328  0.64431421]
 [ 0.20591852  0.79406134]
 [ 0.48766999  0.51231423]
 [ 0.66961251  0.3304933 ]
 [ 0.34219441  0.65771323]
 [ 0.34603785  0.65379804]
 [ 0.69218541  0.30789683]
 [ 0.60415903  0.39582005]
 [ 0.98039233  0.0194704 ]
 [ 0.40675477  0.59316064]
 [ 0.20010801  0.79998292]
 [ 0.49648321  0.50342102]
 [ 0.72955131  0.27046873]
 [ 0.53733464  0.46269905]
 [ 0.62215605  0.37785839]
 [ 0.06663648  0.93334148]
 [ 0.11779618  0.88222682]
 [ 0.59699363  0.40297848]
 [ 0.59883653  0.40116061]
 [ 0.24506926  0.75491161]
 [ 0.75845435  0.24155931]
 [ 0.55589177  0.44413256]
 [ 0.35617066  0.6440807 ]
 [ 0.13599656  0.86399278]
 [ 0.533544    0.46656576]
 [ 0.64436115  0.35562534]
 [ 0.74051523  0.25964111]
 [-0.19622095  1.19606468]
 [ 0.31833983  0.68171343]
 [ 0.26361999  0.73636917]
 [ 0.52639505  0.47362785]
 [ 0.09271749  0.90734352]
 [ 0.57183432  0.42817855]
 [ 0.50756223  0.49232501]
 [ 0.97540095  0.02461173]
 [ 0.67344151  0.32662482]
 [ 0.66634733  0.33365359]
 [ 0.25478742  0.7452727 ]
 [ 1.07799731 -0.07797193]
 [ 0.81216736  0.18781683]
 [ 0.38306007  0.61693862]
 [ 0.6661151   0.33381111]
 [ 0.4805538   0.5195066 ]
 [ 0.77171862  0.22824672]
 [ 0.78392513  0.21603924]
 [ 0.41537395  0.58476627]
 [ 0.7728212   0.22728435]
 [ 0.58344432  0.41656054]
 [ 0.82181169  0.17812945]
 [ 0.82106551  0.17891291]
 [ 0.77916589  0.22090148]
 [ 0.36340615  0.63654062]
 [ 0.14345304  0.85648765]
 [ 0.07120426  0.92875647]
 [ 0.47401038  0.52619148]
 [-0.44665647  1.44695762]
 [ 0.07568048  0.92432772]
 [ 0.45927322  0.54074156]
 [ 0.2197342   0.78033601]
 [ 0.56497717  0.43507634]
 [ 0.22329094  0.77686445]
 [ 0.88595768  0.11408704]
 [ 0.5399502   0.46005766]
 [ 0.43477842  0.56517635]
 [ 0.46978211  0.53027217]
 [ 0.26078831  0.73894708]
 [ 0.38818444  0.61181455]
 [ 0.42309903  0.57692205]
 [ 0.60172538  0.3983261 ]
 [ 0.66031832  0.33978422]
 [ 0.74655691  0.25342367]
 [ 0.72842111  0.27159157]
 [ 0.70116565  0.29878096]
 [ 0.79439147  0.20567165]
 [ 0.24304528  0.75683289]
 [ 0.40901098  0.59098191]
 [ 0.78707886  0.21293165]
 [ 0.62639909  0.37363376]
 [-0.20143165  1.2014539 ]
 [ 0.22096828  0.77918301]
 [-0.21461006  1.21455296]
 [ 1.00366094 -0.00356967]
 [ 0.42117017  0.57890024]
 [ 0.22816493  0.77185172]
 [ 0.67688985  0.32312482]
 [ 0.903775    0.09596111]
 [-0.01460944  1.01467555]
 [-0.00790668  1.00793297]
 [ 0.37770716  0.62243395]
 [ 0.17960567  0.82017963]
 [ 0.317842    0.68215748]
 [ 0.64305492  0.35699924]
 [ 0.18568877  0.81433393]
 [ 0.59489332  0.40491508]
 [ 0.20720347  0.79279967]
 [ 0.38362139  0.61634562]
 [ 0.55798569  0.44200134]
 [-0.11103284  1.11108459]
 [ 0.40890773  0.59106385]
 [ 0.7127818   0.28716867]
 [ 0.65499427  0.34503346]
 [ 0.95904757  0.04096918]
 [ 0.18638435  0.81364652]
 [ 0.34634722  0.65375796]
 [ 1.23319024 -0.23317993]
 [ 0.72969709  0.27023396]
 [ 0.91231805  0.08764364]
 [ 0.04433142  0.95575181]
 [ 0.6051607   0.39482681]
 [ 0.69114401  0.30886772]
 [ 0.30583105  0.69425837]
 [ 0.72077041  0.27929994]
 [ 0.65693391  0.34305695]
 [ 0.67211513  0.32795476]
 [ 0.84733298  0.15263777]
 [-0.19276086  1.19249342]
 [ 0.70087108  0.29912015]
 [ 0.668051    0.33191116]
 [ 0.30780474  0.69222304]
 [ 0.747737    0.2523112 ]
 [-0.12527506  1.1253744 ]
 [ 0.68117678  0.31885411]
 [-0.0462636   1.04625734]
 [-0.04903558  1.04909499]
 [ 0.47640444  0.52365452]
 [ 0.48509668  0.51486075]
 [ 0.21689719  0.78306607]
 [ 0.89320502  0.10676018]
 [ 0.69120305  0.30857937]
 [ 0.69741614  0.30263991]
 [-0.35473164  1.3548838 ]
 [ 0.90454791  0.09539125]
 [ 0.42819933  0.57190848]
 [ 0.30216309  0.697802  ]
 [ 0.38828233  0.61184563]
 [ 0.63869439  0.36123905]
 [ 0.8111646   0.18882471]
 [ 0.4961901   0.50387415]
 [ 0.55327702  0.44681809]
 [ 0.84403789  0.156007  ]
 [ 0.6303839   0.36959676]
 [-0.13018068  1.13022908]
 [ 0.62308673  0.37696103]
 [ 0.02812321  0.97174499]
 [ 0.74669361  0.25336586]
 [ 0.34674369  0.65304504]
 [ 0.62306265  0.37688615]
 [ 0.78940931  0.21043336]
 [ 0.60151857  0.39846465]
 [ 0.2255515   0.77457375]
 [ 1.14087662 -0.14089488]
 [ 0.26006077  0.73996955]
 [ 0.63887468  0.36097129]
 [-0.17878981  1.17872338]
 [-0.07642797  1.07647396]
 [ 0.30823805  0.69179215]
 [ 0.252632    0.74725262]
 [-0.11605734  1.11623687]
 [ 0.51050488  0.48953448]
 [ 0.76604882  0.23395445]
 [ 0.85346986  0.14652193]
 [ 0.56329427  0.4366038 ]
 [ 0.80303825  0.19689816]
 [ 0.74024096  0.25976508]
 [ 0.72265178  0.27725478]
 [ 1.07867238 -0.07867482]
 [-0.12571331  1.12554939]
 [ 0.68843773  0.31152513]
 [ 0.56142511  0.43852139]
 [ 0.07340727  0.92662857]
 [-0.36392143  1.36379361]
 [ 0.76518252  0.23466165]
 [ 0.42275798  0.57739765]
 [ 0.70244106  0.29764962]
 [-0.56294497  1.56271977]
 [-0.20079912  1.20079942]
 [-0.10350593  1.1039178 ]
 [ 0.54367478  0.45637236]
 [ 0.43133152  0.56877645]
 [ 0.64627801  0.35376795]
 [ 0.3964795   0.60349099]
 [ 0.83170007  0.1684128 ]
 [ 0.73843938  0.26156051]
 [ 0.81681501  0.18315542]
 [ 0.71116209  0.28884555]
 [-0.09487664  1.0948302 ]
 [ 0.73751397  0.26252321]
 [ 1.04828318 -0.0485027 ]
 [ 0.15850576  0.8414728 ]
 [ 0.82971718  0.17026103]
 [ 0.66551334  0.33447874]
 [ 0.26865687  0.73132765]
 [ 0.78653697  0.2136073 ]
 [ 0.64797516  0.35204198]
 [ 0.5471487   0.45290485]
 [ 0.85891956  0.14104959]
 [ 0.45157199  0.54849618]
 [ 0.5233779   0.47660196]
 [ 0.47411205  0.52603823]
 [ 0.62378839  0.37634683]
 [ 0.41868064  0.58132459]
 [ 0.42534142  0.57453919]
 [-0.04465999  1.04471256]
 [ 0.6602772   0.33974253]
 [ 0.82849348  0.1715356 ]
 [ 0.65773734  0.34253804]
 [ 0.69409795  0.30594136]
 [ 0.75114336  0.24882553]
 [ 0.42819933  0.57190848]
 [ 0.51083312  0.48931418]
 [ 0.60035877  0.39969231]
 [ 0.26916013  0.73088045]
 [-0.27648603  1.2766158 ]
 [ 0.77585677  0.22417587]
 [ 0.50592971  0.49408649]
 [ 0.46252476  0.5376638 ]
 [ 0.71462092  0.28536323]
 [ 0.60083506  0.39915268]
 [-0.48604189  1.48602677]
 [ 0.77724729  0.22277474]
 [ 0.19144628  0.80853638]
 [ 0.42186322  0.57821817]
 [ 0.64577874  0.35424373]
 [ 0.71261838  0.28745167]
 [ 0.43067209  0.56937666]
 [ 0.71163609  0.28830764]
 [ 0.14858028  0.85158869]
 [ 0.18754802  0.81247438]
 [ 0.76410553  0.23580872]
 [ 0.10662066  0.89328518]
 [ 0.11066245  0.88920818]
 [ 0.02829545  0.97172154]
 [ 0.08034576  0.91970496]
 [ 0.57796117  0.42208091]
 [-0.58879511  1.58882959]
 [ 0.43458079  0.56532576]
 [ 0.87482673  0.12499212]
 [ 0.09595255  0.90405773]
 [ 0.52161725  0.47839975]
 [ 0.14826644  0.8517067 ]
 [ 0.55225873  0.44778294]
 [ 0.0500112   0.94994022]
 [ 0.59150022  0.40856491]
 [ 0.45923859  0.54081349]
 [ 0.24006833  0.75958721]
 [ 0.64700084  0.35302217]
 [ 0.60294168  0.39694464]
 [ 0.52929139  0.47075505]
 [ 0.62863305  0.37139048]
 [ 0.6574934   0.34235422]
 [-0.2226173   1.2227794 ]
 [-0.03522368  1.03528888]
 [ 0.4053989   0.59454133]
 [ 0.70553988  0.29443709]
 [ 1.11158468 -0.11158073]
 [ 0.56332256  0.43668104]
 [ 0.67734814  0.32268451]
 [ 0.79816046  0.20173367]
 [ 0.89537965  0.10473527]
 [-0.20632645  1.20635645]
 [ 0.67894119  0.32105134]
 [ 0.45201507  0.54798283]
 [ 0.86456455  0.13527546]
 [ 0.13581638  0.86410641]
 [ 0.36151869  0.63821503]
 [ 0.61022256  0.38980655]
 [ 0.68534811  0.31467443]
 [ 0.15807355  0.84209374]
 [ 0.70395802  0.29588166]
 [ 0.63239373  0.36763853]
 [ 0.21533309  0.78467634]
 [ 0.30777116  0.69230407]
 [ 0.83415615  0.16599123]
 [ 0.13998798  0.86003523]
 [ 0.71421382  0.28570102]
 [ 0.78966155  0.21047416]
 [ 0.79452719  0.20549848]
 [ 0.82948495  0.17049194]
 [ 0.05363139  0.94636108]
 [ 0.54201497  0.45798797]
 [ 0.27608801  0.72414047]
 [ 0.38915845  0.61092982]
 [ 0.75501534  0.24507617]
 [-0.15730728  1.15755103]
 [ 0.13130747  0.86850904]
 [ 0.18940012  0.81058426]
 [ 0.78177419  0.21827435]
 [ 0.52358723  0.47635158]
 [ 0.57182859  0.42825589]
 [ 0.34219441  0.65771323]
 [ 0.76904793  0.23098627]
 [ 0.58133697  0.41868063]
 [ 0.94862556  0.05129202]
 [ 0.77315153  0.22686186]
 [ 0.44972281  0.5503456 ]
 [ 0.58293965  0.41703322]
 [ 0.2969482   0.70306377]
 [ 0.86632274  0.13364101]
 [ 1.07759743 -0.07719283]
 [ 0.62892373  0.37112093]
 [ 0.80013349  0.19984966]
 [ 0.33686817  0.66315966]
 [ 0.51594943  0.48405948]
 [ 0.61519333  0.38481622]
 [ 0.42690092  0.57298805]
 [ 0.6803688   0.31964256]
 [ 0.44467483  0.55537242]
 [ 0.63647898  0.36370492]
 [ 0.29725735  0.70291224]
 [ 0.34288935  0.65719572]
 [ 0.26243294  0.73749774]
 [-0.2241673   1.22425172]
 [ 0.56446089  0.43553726]
 [ 0.60343405  0.39656781]
 [ 0.65105398  0.34892911]
 [ 0.3014175   0.69864194]
 [ 0.53633971  0.46366232]
 [ 0.33029205  0.66971807]
 [ 0.84893122  0.1511355 ]
 [-0.04926323  1.04904483]
 [ 0.65794701  0.34191173]
 [ 0.39084348  0.60918282]
 [ 0.27933989  0.72053526]
 [ 0.54909596  0.45088406]
 [ 0.80576217  0.19424432]
 [ 0.97816868  0.02175099]
 [ 0.89930514  0.1005678 ]
 [ 0.89704508  0.10300574]
 [ 0.52492276  0.47507552]
 [ 0.37640606  0.62371765]
 [ 0.67140206  0.32856778]
 [ 0.16218208  0.8378061 ]
 [ 0.74452969  0.25552629]
 [ 0.45988184  0.54016284]
 [ 0.38538324  0.61465562]
 [ 0.75094399  0.249099  ]
 [ 0.59142835  0.40859265]
 [ 0.71082944  0.28917053]
 [-0.02585517  1.02582679]
 [ 0.74255176  0.25747369]
 [ 0.42441958  0.57561495]
 [ 0.61125495  0.38873036]
 [ 0.47870009  0.52127358]
 [ 0.36129713  0.6385374 ]
 [ 0.40966277  0.59029222]
 [-0.60058858  1.60075444]
 [ 0.63008775  0.36998242]
 [ 0.40699162  0.59322775]
 [ 0.67541611  0.32460917]
 [ 0.50065922  0.4993929 ]
 [ 0.75630106  0.24374964]
 [ 0.44648301  0.55359506]
 [ 0.801899    0.19806356]
 [ 0.35248209  0.64749035]
 [ 0.27348983  0.72648766]
 [ 0.33560829  0.66439681]
 [ 0.12993054  0.87009591]
 [ 0.63337446  0.36665043]
 [ 0.68458929  0.31537235]
 [ 0.46934059  0.53064584]
 [-0.0439159   1.04403424]
 [ 0.06977398  0.93028182]
 [-0.03166563  1.03148998]
 [ 0.51635827  0.48364281]
 [ 0.75639431  0.24349822]
 [ 0.21840454  0.78159939]
 [ 1.07273627 -0.07262877]
 [ 0.15475974  0.84530781]
 [ 0.67557864  0.32459266]
 [-0.08253302  1.08255391]
 [ 0.53525981  0.46462678]
 [ 0.89348992  0.1064223 ]
 [ 0.7379604   0.26192474]
 [ 0.53016411  0.46986522]
 [ 0.36283932  0.6367563 ]
 [ 0.53864616  0.46142167]
 [ 0.69926551  0.30064832]
 [ 0.38773525  0.61243547]
 [ 1.14695331 -0.14704599]
 [ 0.54185597  0.45808055]
 [-0.14115751  1.14117004]
 [-0.16120955  1.16135743]
 [ 0.76548474  0.2345266 ]
 [ 0.261284    0.73876139]
 [ 0.94980207  0.05013708]
 [-0.1995779   1.19958384]
 [ 0.49684963  0.50316429]
 [-0.27113063  1.27110705]
 [ 0.71063303  0.28915392]
 [-0.29267071  1.29248885]
 [ 0.54596838  0.4540233 ]
 [ 0.39704601  0.60286482]
 [ 0.38494748  0.61511064]
 [ 0.57124383  0.42876235]
 [ 0.71199832  0.28805779]
 [ 0.13594607  0.86396417]
 [ 0.05412364  0.94580493]
 [ 0.3988305   0.600981  ]
 [ 0.69163096  0.30843845]
 [ 0.60127901  0.39872801]
