[[ 7.41047337e-01]
 [ 1.13124445e+00]
 [ 5.10051578e-01]
 [ 8.63593853e-01]
 [ 7.18104755e-01]
 [ 7.18104755e-01]
 [ 8.49803510e-01]
 [ 7.80931462e-01]
 [ 9.18164813e-01]
 [ 9.71046954e-01]
 [ 6.38900966e-01]
 [ 6.30558249e-01]
 [ 8.78715391e-01]
 [ 8.76136644e-01]
 [ 7.28435577e-01]
 [ 6.62205793e-01]
 [ 6.81348018e-01]
 [ 9.81003663e-01]
 [ 8.01076466e-01]
 [ 7.67490833e-01]
 [ 7.09977286e-01]
 [ 5.68452426e-01]
 [ 6.37245263e-01]
 [ 2.67744747e-01]
 [ 2.67744747e-01]
 [ 8.28557961e-01]
 [ 6.25636733e-01]
 [ 7.04538007e-01]
 [ 7.22059149e-01]
 [ 6.13406360e-01]
 [ 6.20599007e-01]
 [ 7.22960733e-01]
 [ 8.85657915e-01]
 [ 1.12155640e+00]
 [ 6.20599007e-01]
 [ 8.15930288e-01]
 [ 7.89619338e-01]
 [ 8.23101538e-01]
 [ 1.57963175e-01]
 [ 9.49755197e-01]
 [ 7.09209272e-01]
 [ 7.15332746e-01]
 [ 7.15527497e-01]
 [ 6.87650500e-01]
 [ 1.10801991e+00]
 [ 1.21758694e+00]
 [ 7.86199439e-01]
 [ 6.13244570e-01]
 [ 7.86199439e-01]
 [ 8.23101538e-01]
 [ 6.88628354e-01]
 [ 7.15692945e-01]
 [ 8.48332240e-01]
 [ 6.41104710e-01]
 [ 8.04798670e-01]
 [ 7.44666877e-01]
 [ 9.49997669e-01]
 [ 6.41104710e-01]
 [ 6.41104710e-01]
 [ 6.52779508e-01]
 [ 6.81470107e-01]
 [ 6.54979562e-01]
 [ 6.23712914e-01]
 [ 6.79110636e-01]
 [ 7.87146437e-01]
 [ 6.23712914e-01]
 [ 7.01527084e-01]
 [ 6.23712914e-01]
 [ 6.95432014e-01]
 [ 8.50297930e-01]
 [ 6.55402105e-01]
 [ 6.17960723e-01]
 [ 6.77045327e-01]
 [ 8.23433291e-01]
 [ 5.97616653e-01]
 [ 7.93115753e-01]
 [ 6.30936463e-01]
 [ 6.22332917e-01]
 [ 7.79639294e-01]
 [ 5.83987143e-01]
 [ 7.90209586e-01]
 [ 7.53916868e-01]
 [ 6.22079522e-01]
 [ 8.07338718e-01]
 [ 8.82735073e-01]
 [ 1.36083802e+00]
 [ 9.64264021e-01]
 [ 6.16558282e-01]
 [ 9.49862483e-01]
 [ 1.10647475e+00]
 [ 6.15073336e-01]
 [ 1.07777847e+00]
 [ 8.85670634e-01]
 [ 1.01935855e+00]
 [ 4.70860732e-01]
 [ 6.77045327e-01]
 [ 2.22492288e-01]
 [ 7.03486305e-01]
 [ 7.94561240e-01]
 [ 7.47850066e-01]
 [ 8.17380585e-01]
 [ 6.31566473e-01]
 [ 6.52680580e-01]
 [ 4.24014595e-01]
 [ 5.92258885e-01]
 [ 5.17548644e-01]
 [ 6.22689657e-01]
 [ 6.16558282e-01]
 [ 8.84770258e-01]
 [ 4.37264461e-01]
 [ 6.31544986e-01]
 [ 9.96205574e-02]
 [ 4.37264461e-01]
 [ 9.96205574e-02]
 [ 7.18764371e-01]
 [ 1.37779527e+00]
 [ 7.96778609e-01]
 [ 7.63332393e-01]
 [ 9.49188585e-01]
 [ 5.26889826e-01]
 [ 7.58908592e-01]
 [ 6.02002063e-01]
 [ 6.69472163e-01]
 [ 6.48932531e-01]
 [ 1.05188978e+00]
 [ 5.95554111e-01]
 [ 7.58908592e-01]
 [ 5.56833541e-01]
 [ 8.84782976e-01]
 [ 5.34300242e-01]
 [ 7.58908592e-01]
 [ 9.98775901e-01]
 [ 1.08284643e+00]
 [ 2.90308568e-01]
 [ 5.95554111e-01]
 [ 8.57992623e-01]
 [ 1.05188978e+00]
 [ 5.95554111e-01]
 [ 6.48932531e-01]
 [ 2.05532822e-01]
 [ 7.58908592e-01]
 [ 8.84770258e-01]
 [ 6.31477480e-01]
 [ 5.26889826e-01]
 [ 5.00254145e-01]
 [ 7.16918632e-01]
 [ 5.76995998e-01]
 [ 8.27782254e-03]
 [ 1.04281724e+00]
 [ 1.04610159e+00]
 [ 6.02739843e-01]
 [ 8.84770258e-01]
 [-9.17106923e-02]
 [ 6.02739843e-01]
 [ 7.42698650e-01]
 [ 6.07850819e-01]
 [ 8.79313988e-01]
 [ 6.36612811e-01]
 [ 8.27782254e-03]
 [ 6.43277576e-01]
 [ 1.94943538e-01]
 [ 6.37463692e-01]
 [ 8.84752476e-01]
 [ 3.10575298e-01]
 [ 1.88576381e-01]
 [ 9.15795923e-01]
 [ 5.15523731e-01]
 [ 5.17548644e-01]
 [ 5.59242689e-01]
 [ 5.36631141e-01]
 [ 8.21827532e-01]
 [ 7.22496780e-01]
 [ 8.53035976e-01]
 [ 6.32574774e-01]
 [ 6.33180220e-01]
 [ 7.80879928e-01]
 [ 8.57657526e-01]
 [ 4.56293504e-01]
 [ 7.91360106e-01]
 [ 7.01882653e-02]
 [ 9.32343978e-01]
 [ 6.91680408e-01]
 [ 7.88153775e-01]
 [ 3.91344371e-01]
 [ 8.29749318e-01]
 [ 7.76210204e-01]
 [ 6.02980062e-01]
 [ 6.66595683e-01]
 [ 2.73115932e-01]
 [ 1.02357424e+00]
 [ 6.72319730e-01]
 [ 8.43823354e-01]
 [ 7.00296451e-01]
 [ 8.57605055e-01]
 [ 1.00935524e+00]
 [ 3.35893104e-03]
 [ 8.05073610e-01]
 [ 6.70792393e-01]
 [ 8.19256542e-01]
 [ 8.56375158e-01]
 [ 7.24177152e-01]
 [ 6.39743313e-01]
 [ 8.54779207e-01]
 [ 9.91129825e-01]
 [ 5.87126553e-01]
 [ 8.55798876e-01]
 [ 8.53718688e-01]
 [ 1.39148072e-01]
 [ 7.70906798e-01]
 [ 6.45376035e-01]
 [ 8.75317661e-01]
 [ 8.15584193e-01]
 [ 1.00630838e-02]
 [ 6.45376035e-01]
 [ 5.27633202e-01]
 [ 9.52413639e-01]
 [ 5.86310556e-01]
 [ 1.09273549e+00]
 [ 8.23191518e-01]
 [ 3.28075648e-01]
 [ 8.23191518e-01]
 [ 7.70486462e-01]
 [ 8.71258480e-02]
 [ 5.60411179e-01]
 [ 6.66331857e-01]
 [ 6.59683500e-01]
 [ 5.56440219e-01]
 [ 6.70556136e-01]
 [ 5.74851051e-01]
 [ 8.13385020e-01]
 [ 7.77916900e-02]
 [ 2.25670639e-01]
 [ 4.11930937e-01]
 [ 7.46116989e-01]
 [ 7.95705897e-01]
 [ 6.44632503e-01]
 [ 6.95180637e-01]
 [ 6.95180637e-01]
 [ 6.32163410e-01]
 [ 6.05427721e-01]
 [ 9.44490140e-01]
 [ 1.01283698e+00]
 [ 1.07677257e+00]
 [ 6.06880482e-01]
 [ 5.86739647e-01]
 [ 5.65991997e-01]
 [ 6.85141806e-01]
 [ 6.86755223e-01]
 [ 5.54483189e-01]
 [ 7.36536026e-01]
 [ 4.57790249e-01]
 [ 5.57619586e-01]
 [ 4.26070579e-01]
 [ 7.51288007e-01]
 [ 6.82276923e-01]
 [ 8.40945045e-01]
 [ 2.46011860e-01]
 [ 4.37043035e-01]
 [ 7.98890244e-01]
 [ 3.20767628e-01]
 [ 7.31038618e-01]
 [ 7.38896983e-01]
 [ 8.87511786e-01]
 [ 5.56384297e-01]
 [ 6.62326077e-01]
 [ 5.56384297e-01]
 [ 6.80207260e-01]
 [ 4.66517967e-01]
 [ 6.96226746e-01]
 [ 9.09662165e-01]
 [ 6.96334332e-01]
 [ 5.95384568e-01]
 [ 7.88862270e-01]
 [ 1.34754830e+00]
 [ 8.07623926e-01]
 [ 8.46148170e-01]
 [ 8.19256542e-01]
 [ 7.26234839e-01]
 [ 8.22155794e-01]
 [ 4.07491741e-01]
 [ 8.07623926e-01]
 [ 6.87792779e-01]
 [ 5.98324969e-01]
 [ 4.40813570e-01]
 [ 2.34175213e-01]
 [ 8.20952063e-01]
 [ 7.87652254e-01]
 [ 1.36536504e-01]
 [ 1.95689768e-01]
 [ 5.73163315e-01]
 [ 1.04898482e+00]
 [ 8.17678470e-01]
 [ 6.64287860e-01]
 [ 1.04074400e+00]
 [ 7.03347355e-01]
 [ 7.71783528e-01]
 [ 6.17327382e-01]
 [ 9.09644962e-01]
 [ 3.27336194e-01]
 [ 8.92018453e-01]
 [ 1.03992841e+00]
 [ 1.35596471e-02]
 [ 5.93266375e-01]
 [ 4.07631451e-01]
 [ 8.57393093e-01]
 [ 4.20269510e-01]
 [ 7.36266294e-01]
 [ 6.43643093e-01]
 [ 6.82093649e-01]
 [ 6.86851732e-01]
 [ 8.09112887e-01]
 [ 7.51967661e-01]
 [ 6.27228106e-01]
 [ 9.86694275e-01]
 [ 6.42281089e-01]
 [ 5.31600179e-01]
 [ 6.42281089e-01]
 [ 1.87608325e-01]
 [ 6.79124438e-01]
 [ 1.09660080e+00]
 [ 1.10271399e+00]
 [ 6.42776249e-01]
 [ 7.84083296e-01]
 [ 4.13009169e-01]
 [ 4.24713614e-01]
 [ 6.81552815e-01]
 [ 8.46953584e-01]
 [ 6.17297887e-01]
 [ 6.34188415e-01]
 [ 7.62355050e-01]
 [ 7.85220332e-01]
 [ 4.50485523e-01]
 [ 9.17292552e-01]
 [ 9.44553070e-01]
 [ 5.31600179e-01]
 [ 4.04920709e-01]
 [ 6.38263463e-01]
 [ 6.31590642e-01]
 [ 5.73673332e-01]
 [ 6.03765379e-01]
 [ 5.49878604e-01]
 [ 1.06475233e+00]
 [ 1.07778894e-01]
 [ 6.00535614e-01]
 [ 6.18394832e-01]
 [ 6.56214126e-01]
 [ 7.27545314e-01]
 [ 7.19826554e-01]
 [ 6.56932772e-01]
 [ 8.17605707e-01]
 [ 8.93485766e-01]
 [ 8.51459581e-01]
 [ 1.17259250e+00]
 [ 1.17127720e+00]
 [ 2.58007049e-01]
 [ 5.70160777e-01]
 [ 6.58519669e-01]
 [ 3.94442496e-02]
 [ 5.69471733e-01]
 [ 5.04727555e-01]
 [ 6.69212368e-01]
 [ 8.37974662e-01]
 [ 5.71890786e-01]
 [ 5.92079937e-01]
 [ 5.92088016e-01]
 [ 5.92079937e-01]
 [ 5.70160777e-01]
 [ 3.38846319e-01]
 [ 6.02136230e-01]
 [ 4.06418437e-02]
 [ 6.26893244e-01]
 [ 5.95974206e-01]
 [ 5.92088016e-01]
 [ 8.52027790e-01]
 [ 7.07742397e-01]
 [ 7.78860751e-01]
 [ 2.93642563e-01]
 [ 4.19712687e-01]
 [ 7.04422788e-01]
 [ 5.65812639e-01]
 [ 8.17798120e-01]
 [ 7.12062235e-01]
 [ 7.09671969e-01]
 [ 6.81949653e-01]
 [ 4.77077189e-01]
 [ 7.39703282e-01]
 [ 8.45615434e-01]
 [ 8.35808332e-01]
 [ 8.33471693e-03]
 [ 8.70585981e-01]
 [ 6.68437571e-01]
 [ 5.86991531e-01]
 [ 5.99606252e-01]
 [ 8.34591276e-01]
 [ 4.59721341e-01]
 [ 1.00860979e+00]
 [ 5.78738435e-01]
 [ 6.26916661e-01]
 [ 6.01568254e-01]
 [ 1.08197392e+00]
 [ 8.43329954e-01]
 [ 6.01568254e-01]
 [ 2.05724807e-01]
 [ 1.13753435e+00]
 [ 6.44732952e-01]
 [ 4.77077189e-01]
 [ 7.16681578e-01]
 [ 6.00725578e-01]
 [ 7.51902186e-01]
 [ 5.21709998e-01]
 [ 4.13674102e-01]
 [ 6.49824800e-01]
 [ 5.96790623e-01]
 [ 6.29458653e-01]
 [ 7.00839312e-01]
 [ 3.41168918e-01]
 [ 9.55391557e-01]
 [ 1.03926473e+00]
 [ 7.70992342e-01]
 [ 1.74659545e-01]
 [ 2.05723600e-01]
 [ 4.33230313e-01]
 [ 7.11029261e-01]
 [ 7.32997080e-01]
 [ 6.00535614e-01]
 [ 6.35427786e-01]
 [ 8.10797821e-01]
 [ 1.22379204e+00]
 [ 1.07495243e+00]
 [ 9.44545634e-01]
 [ 8.54837884e-01]
 [ 7.04392438e-01]
 [ 9.50477613e-01]
 [ 8.52172817e-01]
 [ 7.49353197e-01]
 [ 8.80966908e-01]
 [ 8.56529117e-01]
 [ 1.17944293e+00]
 [ 2.92458261e-01]
 [ 1.02743195e+00]
 [ 6.75596487e-01]
 [ 8.06648629e-01]
 [ 6.38502414e-01]
 [ 5.34675670e-01]
 [ 7.91985630e-01]
 [ 8.32025186e-01]
 [ 7.81474533e-01]
 [ 6.52648281e-01]
 [ 9.17157832e-01]
 [-1.18435125e-01]
 [ 7.35393679e-01]
 [ 9.05760135e-03]
 [ 8.07909156e-01]
 [ 8.49090884e-01]
 [ 4.89524533e-01]
 [ 6.27032504e-01]
 [ 5.97396705e-01]
 [ 8.05378614e-01]
 [ 1.05824908e+00]
 [ 5.91099376e-01]
 [ 8.49963094e-01]
 [ 8.38580219e-01]
 [ 6.32194238e-01]
 [ 2.82632633e-11]
 [ 7.64199480e-01]
 [ 7.63503989e-01]
 [ 7.71784619e-01]
 [ 2.80734020e-11]
 [ 3.98019359e-03]
 [ 3.48212594e-01]
 [ 6.43247815e-01]
 [ 6.06951144e-01]
 [ 7.72841179e-01]
 [ 6.02501287e-01]
 [ 1.93993074e-01]
 [ 6.62828142e-01]
 [ 5.32028524e-01]
 [ 8.68040722e-01]
 [ 9.51855582e-01]
 [ 5.08622643e-01]
 [ 1.05824908e+00]
 [ 1.06219933e+00]
 [ 3.66097099e-01]
 [ 8.43331686e-01]
 [ 6.01583203e-01]
 [ 8.14076633e-01]
 [ 8.43331686e-01]
 [ 6.84604567e-01]
 [ 7.60625629e-01]
 [ 7.14403116e-01]
 [ 8.14572079e-01]
 [ 5.90106968e-01]
 [ 7.73043835e-01]
 [ 7.51728813e-01]
 [ 7.25320801e-01]
 [ 6.23586441e-01]
 [ 9.40475972e-01]
 [ 6.41878359e-01]
 [ 6.55464295e-01]
 [ 6.07739857e-01]
 [ 6.96865440e-01]
 [ 7.66900158e-01]
 [ 5.90106968e-01]
 [ 7.67882743e-01]
 [ 6.97745106e-01]
 [ 6.29923481e-01]
 [ 7.99955058e-01]
 [ 8.43933740e-01]
 [ 8.43933277e-01]
 [ 8.32320181e-01]
 [ 8.43331686e-01]
 [ 8.47109797e-01]
 [ 8.47109787e-01]
 [ 6.19051561e-01]
 [ 8.23966237e-01]
 [ 7.92016335e-01]
 [ 2.15416556e-01]
 [ 7.81621735e-01]
 [ 5.57744845e-01]
 [ 6.35420036e-01]
 [ 9.58760683e-01]
 [ 8.56201747e-01]
 [ 6.70530721e-01]
 [ 6.56429076e-01]
 [ 6.51187766e-01]
 [ 5.16731507e-01]
 [ 8.17397824e-01]
 [ 5.92808006e-01]
 [ 1.07365182e+00]
 [ 4.22383529e-01]
 [ 6.22192455e-01]
 [ 6.90786127e-01]
 [ 4.84115352e-01]
 [ 6.42989715e-01]
 [ 7.75141814e-01]
 [ 1.01423066e+00]
 [ 4.23606014e-01]
 [ 8.75522261e-01]
 [ 6.01698401e-01]
 [ 1.13296387e+00]
 [ 8.24887944e-01]
 [ 8.09337225e-01]
 [ 7.23286426e-01]
 [ 7.20966394e-01]
 [ 7.27054891e-01]
 [ 9.73226343e-01]
 [ 6.23136798e-01]
 [ 6.89434727e-01]
 [ 7.21109179e-01]
 [ 8.00119835e-01]
 [ 7.69407060e-01]
 [ 6.91559921e-01]
 [ 7.88949565e-01]
 [ 6.00283247e-01]
 [ 5.21709998e-01]
 [ 8.55895831e-01]
 [ 6.74435209e-01]
 [ 6.39273731e-01]
 [ 6.97163855e-01]
 [ 1.15515738e+00]
 [ 8.34975975e-01]
 [ 3.91174061e-01]
 [ 6.88662438e-01]
 [ 1.14862643e+00]
 [ 7.75530754e-01]
 [ 6.62990806e-01]
 [ 8.14981439e-01]
 [ 6.39559539e-01]
 [ 6.38518194e-01]
 [ 3.01415601e-01]
 [ 6.27499761e-01]
 [ 7.11568777e-01]
 [ 6.29107367e-01]
 [ 6.27181808e-01]
 [ 7.15167526e-01]
 [ 6.26860769e-01]
 [ 6.26860769e-01]
 [ 7.06438876e-01]
 [ 9.92196333e-01]
 [ 5.92069065e-01]
 [ 6.74081619e-01]
 [ 6.62731569e-01]
 [ 6.06465221e-01]
 [ 5.88369438e-01]
 [ 6.28609881e-01]
 [ 7.35195643e-01]
 [ 8.97777077e-01]
 [ 8.19344607e-01]
 [ 6.07195163e-01]
 [ 7.20401776e-01]
 [ 8.16612520e-01]
 [ 6.55494262e-01]
 [ 6.34156510e-01]
 [ 5.02432196e-01]
 [ 8.49204670e-01]
 [ 4.23686110e-01]
 [ 7.45038260e-01]
 [ 5.77268499e-01]
 [ 8.49463272e-01]
 [ 6.28609881e-01]
 [ 8.16612520e-01]
 [ 7.68552052e-01]
 [ 7.97306758e-01]
 [ 7.17870667e-01]
 [ 1.25826636e-01]
 [ 5.91995265e-01]
 [ 7.32382537e-01]
 [ 5.80260169e-01]
 [ 5.81343971e-01]
 [ 6.27201120e-01]
 [ 6.92395454e-01]
 [ 7.31513792e-01]
 [ 6.96206719e-01]
 [ 7.48177087e-01]
 [ 7.13916375e-01]
 [ 6.26011512e-01]
 [ 1.91024036e-01]
 [ 7.51895897e-01]
 [ 1.12647358e+00]
 [ 6.29121779e-01]
 [ 1.04158418e+00]
 [ 1.03643670e+00]
 [ 9.70606647e-01]
 [ 5.56304809e-01]
 [ 7.89071799e-01]
 [ 5.84621997e-01]
 [ 6.36187698e-01]
 [ 5.84621997e-01]
 [ 8.87769482e-01]
 [ 6.57776306e-01]
 [ 8.08788418e-01]
 [ 7.18797206e-03]
 [ 5.74670853e-01]
 [ 1.03235774e+00]
 [ 3.94472874e-01]
 [ 8.46187646e-01]
 [ 9.19440164e-01]
 [ 5.65455193e-01]
 [ 5.61597961e-01]
 [ 8.57139624e-01]
 [ 8.80343253e-01]
 [ 4.44511938e-01]
 [ 7.70050700e-01]
 [ 4.64419564e-01]
 [ 4.60944448e-01]
 [ 6.17928215e-01]
 [ 1.68771668e-01]
 [ 7.88862792e-01]
 [ 6.93714297e-01]
 [ 6.71446856e-01]
 [ 6.50886159e-01]
 [ 1.01352723e+00]
 [ 5.97301620e-01]
 [ 6.25469439e-01]
 [ 6.25469439e-01]
 [ 8.35316110e-01]
 [ 3.61151172e-01]
 [ 6.32293694e-01]
 [ 6.51221582e-01]
 [ 7.55776654e-01]
 [ 6.03366037e-01]
 [ 6.31574280e-01]
 [ 6.32445722e-01]
 [ 1.02433315e+00]
 [ 1.00787858e-01]
 [ 6.66028571e-01]
 [ 5.82521472e-01]
 [ 5.81564514e-01]
 [ 1.19574314e+00]
 [ 7.18938612e-01]
 [ 6.11812443e-01]
 [ 6.31431836e-01]
 [ 5.80749949e-01]
 [ 5.81559458e-01]
 [ 1.07677257e+00]
 [ 1.07319154e+00]
 [ 8.48400574e-01]
 [ 5.56213619e-01]
 [ 6.81281792e-01]
 [ 5.37724613e-01]
 [ 7.22396177e-01]
 [ 1.00035252e-01]
 [ 1.85676172e-01]
 [ 7.55572863e-01]
 [ 6.15696235e-01]
 [ 6.83089600e-01]
 [ 7.57505880e-01]
 [ 5.27587494e-01]
 [ 5.27587494e-01]
 [ 9.79133578e-01]
 [ 5.72216420e-01]
 [ 7.49242603e-01]
 [ 2.19540918e-11]
 [ 8.24294095e-01]
 [ 5.75329312e-01]
 [ 6.53876012e-01]
 [ 6.33734386e-01]
 [ 8.96938691e-01]
 [ 1.39147904e-01]
 [ 6.76637573e-01]
 [ 3.83872106e-01]
 [ 5.27587494e-01]
 [ 1.10201819e+00]
 [ 7.86354472e-01]
 [ 1.01308841e+00]
 [ 8.85077405e-01]
 [ 7.00700360e-01]
 [ 6.57799731e-01]
 [ 8.83042223e-01]
 [ 8.83042223e-01]
 [ 1.06092942e+00]
 [ 6.52969472e-01]
 [ 1.07596348e+00]
 [ 1.13728231e+00]
 [ 8.34037170e-01]
 [ 6.88341431e-01]
 [ 1.07596348e+00]
 [ 9.34234532e-01]
 [ 1.84238994e-01]
 [ 1.27106446e+00]
 [ 8.56479832e-01]
 [ 5.68339552e-01]
 [ 7.31884635e-01]
 [ 7.00400247e-01]
 [ 5.42095500e-01]
 [ 6.80175382e-01]
 [ 8.53484218e-01]
 [ 8.53853694e-01]
 [ 7.23791634e-01]
 [ 7.53681365e-01]
 [ 8.44125735e-01]
 [ 8.44124472e-01]
 [ 8.43428422e-01]
 [ 7.19985316e-01]
 [ 7.04677196e-01]
 [ 7.26964916e-01]
 [ 7.19985316e-01]
 [ 7.04677196e-01]
 [ 7.51996592e-01]
 [ 8.79621136e-01]
 [ 8.21828298e-01]
 [ 6.12641602e-01]
 [ 8.88661891e-01]
 [ 8.94834044e-01]
 [ 8.88661891e-01]
 [ 8.45064625e-01]
 [ 4.18763196e-01]
 [ 9.04583480e-01]
 [ 6.66732147e-01]
 [ 1.02189100e+00]
 [ 5.15741172e-01]
 [ 8.27782254e-03]
 [ 6.35575673e-01]
 [ 6.41846112e-01]
 [ 5.94831982e-01]
 [ 6.99854870e-01]
 [ 5.94831982e-01]
 [ 6.57868704e-01]
 [ 6.02784524e-01]
 [ 8.25320259e-01]
 [ 6.02784524e-01]
 [ 6.23709536e-01]
 [ 1.19338311e+00]
 [ 1.03003293e+00]
 [ 7.68419589e-01]
 [ 6.46763735e-01]
 [ 6.55830902e-01]
 [ 1.05090215e+00]
 [ 1.10201819e+00]
 [ 8.60377746e-01]
 [ 6.20179538e-01]
 [ 6.74131514e-01]
 [ 5.18243688e-01]
 [ 7.50930798e-01]
 [ 1.18916654e+00]
 [ 6.12355571e-01]
 [ 7.75569887e-01]
 [ 6.99639961e-01]
 [ 7.83588044e-01]
 [ 8.43331686e-01]
 [ 7.50465393e-01]
 [ 7.53656781e-01]
 [ 5.89618058e-01]
 [ 6.52125651e-01]
 [ 6.52125651e-01]
 [ 6.52125651e-01]
 [ 7.81925165e-01]
