[[ 8.65643376e-01]
 [ 5.59108324e-01]
 [ 8.02125070e-01]
 [ 5.27191236e-01]
 [ 9.93454888e-01]
 [ 7.27500951e-01]
 [ 1.11605180e+00]
 [ 1.52788698e+00]
 [ 1.10060027e+00]
 [ 5.83887960e-01]
 [ 1.05910329e+00]
 [ 9.02560844e-01]
 [ 9.28496053e-01]
 [ 1.26521694e+00]
 [ 1.07992844e+00]
 [ 1.36566284e+00]
 [ 7.68030224e-01]
 [ 1.31255849e+00]
 [ 7.24639970e-01]
 [ 1.10666086e+00]
 [ 7.28835881e-01]
 [ 7.18414342e-01]
 [ 9.21995230e-01]
 [ 8.96571977e-01]
 [ 8.98944240e-01]
 [ 7.90987505e-01]
 [ 7.64841221e-01]
 [ 6.48370679e-01]
 [ 9.58255240e-01]
 [ 7.91109225e-02]
 [ 7.31857876e-01]
 [ 8.46045610e-01]
 [ 1.04882274e+00]
 [ 1.15729218e+00]
 [ 2.08250433e-01]
 [ 7.40327786e-01]
 [ 1.01873176e+00]
 [ 1.15275923e+00]
 [ 1.35014347e+00]
 [ 8.81942053e-01]
 [ 1.07150373e+00]
 [ 8.78452879e-01]
 [ 6.42710762e-01]
 [ 6.75089130e-01]
 [ 6.42230226e-01]
 [ 6.51370369e-01]
 [ 8.88581459e-01]
 [ 6.75054501e-01]
 [ 1.05118046e+00]
 [ 3.56325821e-01]
 [ 6.93840847e-01]
 [ 9.36682291e-01]
 [ 9.10080081e-01]
 [ 8.85552824e-01]
 [ 9.61861088e-01]
 [ 8.85694565e-01]
 [ 1.04174099e+00]
 [ 8.84047234e-01]
 [ 2.58959828e-01]
 [ 6.52901869e-01]
 [ 1.35014347e+00]
 [ 8.75963121e-01]
 [ 7.23392667e-01]
 [ 1.00016692e+00]
 [ 1.02330712e+00]
 [ 1.06254745e+00]
 [ 1.00016692e+00]
 [ 9.45538591e-01]
 [ 8.32387952e-01]
 [ 9.49246429e-01]
 [ 5.32110378e-01]
 [ 1.09634093e+00]
 [ 8.97190388e-01]
 [ 1.24140496e+00]
 [ 1.28234956e+00]
 [ 7.10294238e-01]
 [ 1.02375434e+00]
 [ 9.15804777e-01]
 [ 8.84176411e-01]
 [ 9.97281044e-01]
 [ 6.66678272e-01]
 [ 7.65898702e-01]
 [ 1.09634093e+00]
 [ 7.94983493e-01]
 [ 1.12852292e+00]
 [ 8.43371829e-01]
 [ 7.07893984e-01]
 [ 1.05545191e+00]
 [ 1.05560335e+00]
 [ 9.24740140e-01]
 [ 1.00016692e+00]
 [ 1.01442804e+00]
 [ 1.01439189e+00]
 [ 9.36471992e-01]
 [ 1.11539469e+00]
 [ 7.08476729e-01]
 [-2.21406950e-02]
 [ 8.93509284e-01]
 [ 4.89921593e-01]
 [ 8.68345653e-01]
 [ 1.20068541e+00]
 [ 9.78526307e-01]
 [ 9.98133290e-01]
 [ 9.75897984e-01]
 [ 7.71368519e-01]
 [ 4.78097177e-01]
 [ 9.02509107e-01]
 [ 5.55652333e-01]
 [ 7.85853065e-01]
 [ 4.51798436e-01]
 [ 6.22541266e-01]
 [ 9.68695197e-01]
 [ 3.52764742e-01]
 [ 7.24321936e-01]
 [ 1.00098916e+00]
 [ 1.36830904e-01]
 [ 4.52360570e-01]
 [ 4.67859800e-01]
 [ 1.12771135e+00]
 [ 1.72051982e+00]
 [ 8.34877947e-01]
 [ 1.18165950e+00]
 [ 7.05467415e-01]
 [ 6.64762081e-01]
 [ 7.30443217e-01]
 [ 1.33182287e+00]
 [ 9.45015617e-01]
 [ 5.80741211e-01]
 [ 7.06441138e-01]
 [ 6.87299118e-01]
 [ 8.35814250e-01]
 [ 1.09382162e+00]
 [ 8.01808772e-01]
 [ 1.37575134e+00]
 [ 4.28791261e-01]
 [ 1.00378867e+00]
 [ 4.89550219e-01]
 [ 8.07760157e-01]
 [ 7.71962268e-01]
 [ 9.88917907e-01]
 [ 8.06927796e-01]
 [ 1.79883058e-01]
 [ 6.57553822e-01]
 [ 1.42661825e+00]
 [ 1.21942999e+00]
 [ 7.13706884e-01]
 [ 1.00171352e+00]
 [ 8.09052275e-01]
 [ 8.00865390e-01]
 [ 1.24998818e-01]
 [ 8.54357937e-01]
 [ 4.15541727e-01]
 [ 8.66974220e-01]
 [ 8.30910588e-01]
 [ 4.15947678e-01]
 [ 8.44683378e-01]
 [ 8.44683378e-01]
 [ 6.21431891e-01]
 [ 9.28195793e-01]
 [ 1.17214442e+00]
 [ 7.15519166e-01]
 [ 1.11237881e+00]
 [ 7.99922756e-01]
 [ 8.13146323e-01]
 [ 8.53507525e-01]
 [ 1.02116346e+00]
 [ 8.92458458e-01]
 [ 7.15765857e-01]
 [ 1.03198485e+00]
 [ 9.38182582e-01]
 [ 9.94408645e-01]
 [ 5.01781422e-01]
 [ 1.01445206e+00]
 [ 8.22950782e-01]
 [ 1.07518661e+00]
 [ 4.36895521e-01]
 [ 8.52714490e-01]
 [ 9.31663894e-01]
 [ 1.07519253e+00]
 [ 8.53507525e-01]
 [ 9.94408645e-01]
 [ 1.02365402e+00]
 [ 7.39507249e-01]
 [ 6.94116471e-01]
 [ 7.67205241e-01]
 [ 1.10723862e+00]
 [ 1.15449300e+00]
 [ 9.23698374e-01]
 [ 9.32826241e-01]
 [ 8.56548683e-01]
 [ 9.79556757e-01]
 [ 4.72473700e-01]
 [ 9.84827533e-01]
 [ 1.21856104e+00]
 [ 8.76999893e-01]
 [ 5.81776633e-01]
 [ 9.81316368e-01]
 [ 7.31625229e-01]
 [ 8.82810397e-01]
 [ 7.94172214e-01]
 [ 1.07629559e+00]
 [ 1.06836357e+00]
 [ 9.77603585e-01]
 [ 9.27838644e-01]
 [ 9.55352965e-01]
 [ 1.23353829e+00]
 [ 8.85962643e-01]
 [ 1.23353829e+00]
 [ 9.97073249e-01]
 [ 8.89148346e-01]
 [ 8.21138782e-01]
 [ 6.04775908e-01]
 [ 7.90224128e-01]
 [ 1.04456335e+00]
 [ 1.18433132e+00]
 [ 9.78075016e-01]
 [ 5.34419398e-01]
 [ 1.00702390e+00]
 [ 9.99678134e-01]
 [ 1.02964433e+00]
 [ 5.04236535e-01]
 [ 4.83848994e-01]
 [ 1.11124186e+00]
 [ 3.04360933e-01]
 [ 2.95561899e-01]
 [ 7.89550236e-01]
 [ 1.10057196e-01]
 [ 8.29024495e-01]
 [ 6.32039039e-01]
 [ 3.83363501e-01]
 [ 1.09374829e+00]
 [ 1.06500129e+00]
 [ 7.41507136e-01]
 [ 7.29917233e-01]
 [ 7.29917233e-01]
 [ 5.58557282e-01]
 [ 2.85047257e-01]
 [ 8.65744563e-01]
 [ 5.50043620e-01]
 [ 1.26922287e+00]
 [ 1.09744359e+00]
 [ 6.08628051e-01]
 [ 5.53818972e-01]
 [ 3.32251579e-01]
 [ 7.91109225e-02]
 [ 8.43448866e-01]
 [ 9.31857517e-01]
 [ 9.32304664e-01]
 [ 1.00583117e+00]
 [ 9.38966603e-01]
 [ 1.03514699e+00]
 [ 9.03287060e-01]
 [ 9.23575755e-01]
 [ 9.32306524e-01]
 [ 8.65643376e-01]
 [ 8.62447613e-01]
 [ 1.07187535e+00]
 [ 6.69296320e-01]
 [ 6.92954608e-01]
 [ 6.65969351e-01]
 [ 4.52210570e-01]
 [ 2.37825707e-01]
 [ 9.49926939e-01]
 [ 5.49746528e-01]
 [ 9.27243709e-01]
 [ 2.49627194e-01]
 [ 6.94780155e-01]
 [ 9.31970123e-01]
 [ 9.31970123e-01]
 [ 9.18877681e-01]
 [ 8.84684189e-01]
 [ 6.35586739e-01]
 [ 1.05494636e+00]
 [ 8.58399745e-01]
 [ 6.40949304e-01]
 [ 6.11398899e-01]
 [ 9.60772753e-01]
 [ 7.99737282e-01]
 [ 9.72368116e-01]
 [ 1.14488542e+00]
 [ 8.70205740e-01]
 [ 9.31970123e-01]
 [ 1.00708951e+00]
 [ 9.83981126e-01]
 [ 8.99430093e-01]
 [ 7.11531244e-01]
 [ 8.44423499e-01]
 [ 6.02838275e-01]
 [ 7.28528302e-01]
 [ 7.28528302e-01]
 [ 1.02010303e+00]
 [ 9.01056336e-01]
 [ 1.08911718e+00]
 [ 8.58210677e-01]
 [ 8.43463102e-01]
 [ 9.44310020e-01]
 [ 1.08911718e+00]
 [ 9.58083884e-01]
 [ 9.88254454e-01]
 [ 1.01394178e+00]
 [ 7.42299017e-01]
 [ 1.13628368e+00]
 [ 7.26829681e-01]
 [ 8.54237290e-01]
 [ 7.04193565e-01]
 [ 6.92278925e-01]
 [ 6.70072087e-01]
 [ 6.65283049e-01]
 [ 8.21288712e-01]
 [ 8.33380816e-01]
 [ 1.06317343e+00]
 [ 1.06317308e+00]
 [ 1.05442135e+00]
 [ 3.65675314e-01]
 [ 3.36819479e-01]
 [ 6.95230593e-01]
 [ 3.65675314e-01]
 [ 3.36819479e-01]
 [ 1.07489005e+00]
 [ 6.98707673e-01]
 [ 9.94324339e-01]
 [ 9.88403623e-01]
 [ 1.13371593e+00]
 [ 1.14224947e+00]
 [ 1.13371593e+00]
 [ 9.17577812e-01]
 [ 8.28424533e-01]
 [ 9.22656682e-01]
 [ 8.27214292e-01]
 [ 1.13489452e+00]
 [ 9.36684125e-01]
 [ 1.00827026e+00]
 [ 3.86742056e-01]
 [ 3.89094339e-01]
 [ 6.91416908e-01]
 [ 1.20506086e+00]
 [ 6.91416908e-01]
 [ 9.09523320e-01]
 [ 8.00901376e-01]
 [ 6.76080759e-01]
 [ 8.00901376e-01]
 [ 8.97426183e-01]
 [ 1.34272034e+00]
 [ 1.13772705e+00]
 [ 1.01345949e+00]
 [ 5.77674000e-01]
 [ 1.08796048e+00]
 [ 1.08531104e+00]
 [ 1.00708951e+00]
 [ 7.15287813e-01]
 [ 7.64343824e-01]
 [ 1.03720925e+00]
 [ 9.42181128e-01]
 [ 1.10593864e+00]
 [ 5.74708379e-01]
 [ 1.00843332e+00]
 [ 1.03829379e+00]
 [ 8.06560047e-01]
 [ 6.73672408e-01]
 [ 1.00016692e+00]
 [ 7.88232926e-01]
 [ 8.75886591e-01]
 [ 4.24198054e-01]
 [ 8.89740128e-01]
 [ 8.89740128e-01]
 [ 8.89740128e-01]
 [ 7.29658978e-01]
 [ 9.36465437e-01]
 [ 9.34871837e-01]
 [ 9.27807233e-01]
 [ 1.03325833e+00]
 [ 9.87653940e-01]
 [ 9.42181128e-01]
 [ 9.42181128e-01]
 [ 7.26390588e-01]
 [ 1.11282464e+00]
 [ 1.07465441e+00]
 [ 1.32814136e+00]
 [ 1.32680156e+00]
 [ 7.88421603e-01]
 [ 7.79105434e-01]
 [ 1.07206587e+00]
 [ 9.87450239e-01]
 [ 1.07465441e+00]
 [ 7.83996721e-01]
 [ 4.65639960e-01]
 [ 9.84707591e-01]
 [ 3.78252773e-01]
 [ 6.67513225e-01]
 [ 4.96299023e-01]
 [ 1.00286108e+00]
 [ 8.23500924e-01]
 [ 1.43981071e+00]
 [ 1.00016692e+00]
 [ 7.53697413e-01]
 [ 7.02576447e-01]
 [ 8.02301689e-01]
 [ 9.15773724e-01]
 [ 7.00869987e-01]
 [ 7.00869987e-01]
 [ 9.94305945e-01]
 [ 8.38063283e-01]
 [ 6.38185824e-01]
 [ 1.10252519e+00]
 [ 1.39250458e+00]
 [ 1.07876178e+00]
 [ 7.27778092e-01]
 [ 6.92954608e-01]
 [ 8.47767836e-01]
 [ 1.19868491e+00]
 [ 1.00052761e+00]
 [ 5.02991993e-01]
 [ 7.57805422e-01]
 [ 7.64446412e-01]
 [ 1.07699877e+00]
 [ 9.15300808e-01]
 [ 1.09436662e+00]
 [ 9.42181128e-01]
 [ 6.21893700e-01]
 [ 6.65247538e-01]
 [ 8.26103952e-01]
 [ 7.07546958e-01]
 [ 8.42795920e-01]
 [ 2.62504412e-01]
 [ 6.06255472e-01]
 [ 1.03327005e+00]
 [ 9.20525855e-01]
 [ 1.29201102e+00]
 [ 9.42181128e-01]
 [ 5.54053256e-01]
 [ 7.04722198e-01]
 [ 5.30424564e-01]
 [ 8.33808595e-01]
 [ 8.36091461e-01]
 [ 1.33922038e+00]
 [ 9.26768510e-01]
 [ 1.13694490e+00]
 [ 9.28675403e-01]
 [ 1.05241000e+00]
 [ 8.07066611e-01]
 [ 8.17416191e-01]
 [ 1.03946526e+00]
 [ 1.07053022e+00]
 [ 1.07057089e+00]
 [ 7.06898392e-01]
 [ 8.38346650e-01]
 [ 6.69578640e-01]
 [ 1.06080684e+00]
 [ 7.98750568e-01]
 [ 7.72877358e-01]
 [ 7.76326201e-01]
 [ 7.12206025e-01]
 [ 7.06898392e-01]
 [ 7.06898392e-01]
 [ 8.39882245e-01]
 [ 1.02924497e+00]
 [ 6.06255472e-01]
 [ 6.97414897e-01]
 [ 7.78048213e-01]
 [ 4.73051577e-01]
 [ 7.34195393e-01]
 [ 7.34195393e-01]
 [ 7.10659953e-01]
 [ 1.06197992e+00]
 [ 8.95985756e-01]
 [ 1.19435282e+00]
 [ 7.93712354e-01]
 [ 1.04487918e+00]
 [ 5.71760768e-01]
 [ 5.78362874e-01]
 [ 1.21951557e+00]
 [ 7.90454260e-01]
 [ 1.19865776e+00]
 [ 7.47799557e-01]
 [ 1.08950523e+00]
 [ 1.45117248e+00]
 [ 9.78315206e-01]
 [ 4.24042773e-01]
 [ 6.55164270e-02]
 [ 8.75853742e-01]
 [ 7.27588956e-01]
 [ 6.65969351e-01]
 [ 8.75715597e-01]
 [ 7.27807891e-01]
 [ 1.15219894e+00]
 [ 1.02277898e+00]
 [ 6.79075124e-01]
 [ 6.76651645e-01]
 [ 7.91864858e-01]
 [ 1.02618937e+00]
 [ 1.15219894e+00]
 [ 6.79075124e-01]
 [ 6.79075124e-01]
 [ 1.03329823e+00]
 [ 4.25582920e-01]
 [ 4.92374042e-01]
 [ 8.21943933e-01]
 [ 8.21943933e-01]
 [ 6.56632249e-01]
 [ 7.36966263e-01]
 [ 7.37386554e-01]
 [ 1.06197992e+00]
 [ 7.60013637e-01]
 [ 7.90839845e-01]
 [ 8.10079749e-01]
 [ 7.33792027e-01]
 [ 6.18024101e-01]
 [ 8.35572397e-01]
 [ 9.25765292e-01]
 [ 7.33792027e-01]
 [ 1.18972078e+00]
 [ 6.44633507e-01]
 [ 9.86004845e-01]
 [ 4.28826448e-01]
 [ 6.13229314e-01]
 [ 9.88035902e-01]
 [ 7.18680767e-01]
 [ 1.10568255e+00]
 [ 8.43301242e-01]
 [ 7.18680767e-01]
 [ 6.02452226e-01]
 [ 7.51470460e-01]
 [ 1.06501417e+00]
 [ 1.30628737e+00]
 [ 8.73609781e-01]
 [ 1.30628737e+00]
 [ 4.89883778e-01]
 [ 1.03652720e+00]
 [ 5.69829613e-01]
 [ 8.27273987e-01]
 [ 8.40833005e-01]
 [ 1.08194523e+00]
 [ 6.06255472e-01]
 [ 9.25290595e-01]
 [ 9.25290595e-01]
 [ 9.89194813e-01]
 [ 1.10059656e+00]
 [ 7.45220709e-01]
 [ 9.95809033e-01]
 [ 8.36035397e-01]
 [ 6.50289448e-01]
 [ 5.45418125e-01]
 [ 5.45752123e-01]
 [ 5.45752123e-01]
 [ 5.68135311e-01]
 [ 8.27761370e-01]
 [ 5.93274349e-01]
 [ 6.40029633e-01]
 [ 7.44385693e-01]
 [ 1.01439006e+00]
 [ 1.03535519e+00]
 [ 7.23493445e-01]
 [ 7.04563155e-01]
 [ 8.20691483e-01]
 [ 1.04097030e+00]
 [ 7.81574449e-01]
 [ 6.49119025e-01]
 [ 7.16269049e-01]
 [ 9.02872259e-01]
 [ 9.70817686e-01]
 [ 1.78238656e-01]
 [ 9.37029038e-01]
 [ 1.78238656e-01]
 [ 8.12238118e-01]
 [ 8.46227700e-01]
 [ 5.61518272e-01]
 [ 8.62613652e-01]
 [ 8.62613652e-01]
 [ 8.92528654e-01]
 [ 7.08650096e-01]
 [ 1.00016692e+00]
 [ 1.04106984e+00]
 [ 9.01636961e-01]
 [ 5.49060841e-01]
 [ 1.76940076e-01]
 [ 2.73342534e-01]
 [ 8.38031960e-01]
 [ 5.18905644e-01]
 [ 8.20250182e-01]
 [ 8.95310349e-01]
 [ 3.00104247e-01]
 [ 6.62685666e-01]
 [ 9.54848548e-01]
 [ 9.48003944e-01]
 [ 9.58131748e-01]
 [ 1.07107798e+00]
 [ 8.95924022e-01]
 [ 3.27547184e-01]
 [ 8.40902444e-01]
 [ 8.40902444e-01]
 [ 8.40902444e-01]
 [ 2.06173640e-01]
 [ 9.60557493e-01]
 [ 1.21886628e+00]
 [ 8.37972883e-01]
 [ 1.79179531e-01]
 [ 9.53934801e-01]
 [ 1.01054463e+00]
 [ 1.79179531e-01]
 [ 8.08232983e-01]
 [ 7.38880245e-01]
 [ 3.46052261e-01]
 [ 3.58573200e-01]
 [ 3.54822990e-01]
 [ 1.11581870e+00]
 [ 9.43016912e-01]
 [ 8.97748591e-01]
 [ 1.20328192e+00]
 [ 8.02707655e-01]
 [ 8.76859260e-01]
 [ 8.76859260e-01]
 [ 7.98945653e-01]
 [ 6.16773746e-01]
 [ 8.25844764e-01]
 [ 4.67397062e-01]
 [ 1.34370475e+00]
 [ 8.67220275e-01]
 [ 8.32405126e-01]
 [ 9.99801905e-01]
 [ 8.32405126e-01]
 [ 9.41367541e-01]
 [ 1.11610399e+00]
 [ 1.11673822e+00]
 [ 8.19944662e-01]
 [ 8.17218965e-01]
 [ 7.97073928e-01]
 [ 1.09987272e+00]
 [ 8.83334454e-01]
 [ 1.02272237e+00]
 [ 8.53627514e-01]
 [ 1.02272237e+00]
 [ 1.02272237e+00]
 [ 1.02452887e+00]
 [ 3.65684779e-01]
 [ 1.00016692e+00]
 [ 1.21089674e+00]
 [ 1.00016692e+00]
 [ 7.76381983e-01]
 [ 5.93635553e-01]
 [ 1.42150580e+00]
 [ 8.07760157e-01]
 [ 7.92648247e-01]
 [ 3.43969125e-01]
 [ 9.93150571e-01]
 [ 9.77422947e-01]
 [ 7.44221247e-01]
 [ 7.44858597e-01]
 [ 9.98307561e-01]
 [ 1.00144409e+00]
 [ 5.89921185e-01]
 [ 8.30321320e-01]
 [ 8.07760157e-01]
 [ 5.40794692e-01]
 [ 9.99926107e-01]
 [ 7.15995553e-01]
 [ 5.10499372e-01]
 [ 9.84373818e-01]
 [ 1.02631387e+00]
 [ 3.98886594e-01]
 [ 1.11071045e+00]
 [ 4.18203816e-01]
 [ 9.57991380e-01]
 [ 4.94076144e-01]
 [ 7.48915440e-01]
 [ 9.04822165e-01]
 [ 8.31032389e-01]
 [ 8.07019453e-01]
 [ 1.09226458e+00]
 [ 8.77179878e-01]
 [ 8.77516219e-01]
 [ 9.16503620e-01]
 [ 1.01330864e+00]
 [ 8.88486872e-01]
 [ 4.83965687e-01]
 [ 9.93181494e-01]
 [ 7.45282122e-01]
 [ 7.37960172e-01]
 [ 1.10607606e+00]
 [ 8.86467984e-01]
 [ 7.37740918e-01]
 [ 8.31383796e-01]
 [ 8.68400003e-01]
 [ 8.67394619e-01]
 [ 9.77142538e-01]
 [ 9.82267544e-01]
 [ 4.87857498e-01]
 [ 9.66141416e-01]
 [ 7.29886895e-01]
 [ 1.17214442e+00]
 [ 7.77603849e-01]
 [ 1.25474948e+00]
 [ 7.21375664e-01]
 [ 8.69663832e-01]
 [ 1.08017745e+00]
 [ 4.51247393e-01]
 [ 7.40005184e-01]
 [ 9.74290359e-01]
 [ 7.18985697e-01]
 [ 6.73141807e-01]
 [ 9.68831185e-01]
 [ 6.73141807e-01]
 [ 9.68831185e-01]
 [ 6.73141807e-01]
 [ 9.68831185e-01]
 [ 6.10663117e-01]
 [ 1.20335942e+00]
 [ 9.98629481e-01]
 [ 1.18153907e+00]
 [ 8.77174350e-01]
 [ 9.29820709e-01]
 [ 6.04995666e-01]
 [ 5.73660455e-01]
 [ 8.56548683e-01]
 [ 9.10036930e-01]
 [ 9.10036930e-01]
 [ 9.62784176e-01]
 [ 9.00513435e-01]
 [ 7.94172214e-01]
 [ 9.68645817e-01]
 [ 6.22050864e-01]
 [ 1.07629559e+00]
 [ 8.96896489e-01]
 [ 9.42696098e-01]
 [ 7.91289119e-01]
 [ 8.21138782e-01]
 [ 9.82567612e-01]
 [ 1.05271450e+00]
 [ 8.21138782e-01]
 [ 9.94419419e-01]
 [ 9.63682999e-01]
 [ 2.32837975e-01]
 [ 8.21112111e-01]
 [ 8.99433136e-01]
 [ 6.26593801e-01]
 [ 9.11789166e-01]
 [ 9.13024037e-01]
 [ 8.68234861e-01]
 [ 1.08957660e+00]
 [ 8.29013167e-01]
 [ 7.63030326e-01]
 [ 9.13612115e-01]
 [ 8.12422730e-01]
 [ 9.57754492e-01]
 [ 8.66332659e-01]
 [ 1.56851781e-01]
 [ 1.09281458e+00]
 [ 8.10601226e-01]
 [ 1.11359497e+00]
 [ 5.06851683e-01]
 [ 8.85339528e-01]
 [ 9.79691006e-02]
 [ 8.39540177e-01]
 [ 6.64865333e-01]
 [ 9.27990443e-01]
 [ 7.53915227e-01]
 [ 7.53470788e-01]
 [ 2.90363020e-01]
 [ 3.17876576e-01]
 [ 6.33702806e-01]
 [ 9.48981723e-01]
 [ 7.44567333e-01]
 [ 5.99731168e-01]
 [ 7.89129853e-01]
 [ 7.76919602e-01]
 [ 7.01389935e-01]
 [ 1.03556802e+00]
 [ 8.43452441e-01]
 [ 4.10822548e-01]
 [ 9.51291037e-01]
 [ 1.29284859e+00]
 [ 6.98664135e-01]
 [ 4.56628074e-01]
 [ 9.56724370e-01]
 [ 9.52516159e-01]
 [ 1.02660545e+00]
 [ 8.63275737e-01]
 [ 6.37349389e-01]
 [ 6.43029895e-01]
 [ 8.56613620e-01]
 [ 6.95782124e-01]
 [ 1.39240694e-01]
 [ 8.70205740e-01]
 [ 4.93489957e-01]
 [ 1.96836172e-01]
 [ 6.63593434e-02]
 [ 1.00016692e+00]
 [ 5.30257072e-01]
 [ 1.01420139e+00]
 [ 1.27633403e+00]
 [ 9.73647987e-01]
 [ 4.18659567e-01]
 [ 9.94419419e-01]
 [ 8.62163801e-01]
 [ 1.00307355e+00]
 [ 8.59079349e-01]
 [ 1.04618475e+00]
 [ 9.63682999e-01]
 [ 6.53500611e-01]
 [ 5.98935780e-01]
 [ 8.90899704e-01]
 [ 9.28770761e-01]
 [ 8.61749005e-01]
 [ 1.12427093e+00]
 [ 9.06587866e-01]
 [ 4.86032855e-01]
 [ 8.61792097e-01]
 [ 1.04245357e+00]
 [ 5.59936109e-01]
 [ 9.20507198e-01]
 [ 1.04255592e+00]
 [ 6.04358921e-01]
 [ 7.18072115e-01]
 [ 9.43590198e-01]
 [ 9.74954361e-01]
 [ 2.30713798e-01]
 [ 1.03071825e+00]
 [ 1.02265682e+00]
 [ 4.55219202e-01]
 [ 1.11517149e+00]
 [ 7.64298805e-01]
 [ 1.13817066e+00]
