Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
VLSI Extreme Learning Machine: A Design Space Exploration,E. Yao; A. Basu,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,20161226,2017,25,1,60,74,"In this paper, we describe a compact low-power high-performance hardware implementation of extreme learning machine for machine learning applications. Mismatches in current mirrors are used to perform the vector-matrix multiplication that forms the first stage of this classifier and is the most computationally intensive. Both regression and classification (on UCI data sets) are demonstrated and a design space tradeoff between speed, power, and accuracy is explored. Our results indicate that for a wide set of problems, σ V<sub>T</sub> in the range of 15-25 mV gives optimal results. An input weight matrix rotation method to extend the input dimension and hidden layer size beyond the physical limits imposed by the chip is also described. This allows us to overcome a major limit imposed on most hardware machine learners. The chip is implemented in a 0.35-μm CMOS process and occupies a die area of around 5 mm × 5 mm. Operating from a 1 V power supply, it achieves an energy efficiency of 0.47 pJ/MAC at a classification rate of 31.6 kHz.",1063-8210;10638210,,10.1109/TVLSI.2016.2558842,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7470473,Classifier;extreme learning machine (ELM);low power;machine learning;neural networks,Hardware;Machine learning algorithms;Mirrors;Neurons;Radiation detectors;Transistors;Very large scale integration,CMOS integrated circuits;VLSI;current mirrors;energy conservation;integrated circuit design;learning (artificial intelligence);low-power electronics;matrix multiplication;neural nets;pattern classification;power aware computing;regression analysis;vectors,CMOS process;VLSI extreme learning machine;classifier;current mirrors;design space exploration;design space tradeoff;energy efficiency;hidden layer size;input weight matrix rotation method;low-power high-performance hardware implementation;regression analysis;size 0.35 mum;vector-matrix multiplication;voltage 1 V,,3,,,,,20160517,Jan. 2017,,IEEE,IEEE Journals & Magazines
Remote Sensing Image Classification Based on Ensemble Extreme Learning Machine With Stacked Autoencoder,F. Lv; M. Han; T. Qiu,"Faculty of Electronic Information and Electrical Engineering, Dalian University of Technology, Dalian, China",IEEE Access,20170619,2017,5,,9021,9031,"Classification is one of the most popular topics in remote sensing. Consider the problems that the remote sensing data are complicated and few labeled training samples limit the performance and efficiency in the classification of remote sensing image. For these problems, a huge number of methods were proposed in the last two decades. However, most of them do not yield good performance. In this paper, a remote sensing image classification algorithm based on the ensemble of extreme learning machine (ELM) neural network, namely, stacked autoencoder (SAE)-ELM, is proposed. First, due to improve the ensemble classification accuracy, we adopt feature segmentation and SAE in the sample data to create high diversity among the base classifiers. Furthermore, ELM neural network is chosen as a base classifier to improve the learning speed of the algorithm. Finally, to determine the final ensemble-based classifier, Q-statistics is adopted. The experiment compares the proposed algorithm with Bagging, Adaboost, Random Forest et al., which results show that the proposed algorithm not only gets high classification accuracy on low resolution, medium resolution, high resolution and hyperspectral remote sensing images, but also has strong stability and generalization on UCI data.",2169-3536;21693536,,10.1109/ACCESS.2017.2706363,National Basic Research Program of China; 10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932442,Q-statistics;Remote sensing classification;ensemble algorithm;extreme learning machine;feature extraction,Feature extraction;Hyperspectral imaging;Image resolution;Neural networks;Training,feedforward neural nets;geophysical image processing;hyperspectral imaging;image classification;image coding;image resolution;learning (artificial intelligence);remote sensing;statistics,ELM neural network;Q-statistics;SAE-ELM;UCI data;ensemble classification;ensemble extreme learning machine;feature segmentation;high resolution remote sensing images;hyperspectral remote sensing images;learning speed;low resolution remote sensing images;medium resolution remote sensing images;remote sensing image classification;stacked autoencoder,,,,,,OAPA,20170523,2017,,IEEE,IEEE Journals & Magazines
Blind Domain Adaptation With Augmented Extreme Learning Machine Features,M. Uzair; A. Mian,"School of Computer Science and Software Engineering, University of Western Australia, Crawley, WA, Australia",IEEE Transactions on Cybernetics,20170520,2017,47,3,651,660,"In practical applications, the test data often have different distribution from the training data leading to suboptimal visual classification performance. Domain adaptation (DA) addresses this problem by designing classifiers that are robust to mismatched distributions. Existing DA algorithms use the unlabeled test data from target domain during training time in addition to the source domain data. However, target domain data may not always be available for training. We propose a blind DA algorithm that does not require target domain samples for training. For this purpose, we learn a global nonlinear extreme learning machine (ELM) model from the source domain data in an unsupervised fashion. The global ELM model is then used to initialize and learn class specific ELM models from the source domain data. During testing, the target domain features are augmented with the reconstructed features from the global ELM model. The resulting enriched features are then classified using the class specific ELM models based on minimum reconstruction error. Extensive experiments on 16 standard datasets show that despite blind learning, our method outperforms six existing state-of-the-art methods in cross domain visual recognition.",2168-2267;21682267,,10.1109/TCYB.2016.2523538,10.13039/501100000923 - Australian Research Council Discovery; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7404267,Blind domain adaptation (DA);extreme learning machines (ELMs);object recognition;visual classification,Adaptation models;Cybernetics;Data models;Joining processes;Training;Training data;Visualization,image classification;image reconstruction;learning (artificial intelligence);object recognition,AELM;augmented extreme learning machine;blind DA;blind domain adaptation;feature reconstruction;source domain data;unsupervised fashion;visual classification performance;visual recognition,,2,,,,,20160211,Mar-17,,IEEE,IEEE Journals & Magazines
Deep Learning of Semisupervised Process Data With Hierarchical Extreme Learning Machine and Soft Sensor Application,L. Yao; Z. Ge,"Department of Control Science and Engineering, Zhejiang University, Hangzhou, China",IEEE Transactions on Industrial Electronics,20171211,2018,65,2,1490,1498,"Data-driven soft sensors have been widely utilized in industrial processes to estimate the critical quality variables which are intractable to directly measure online through physical devices. Due to the low sampling rate of quality variables, most of the soft sensors are developed on small number of labeled samples and the large number of unlabeled process data is discarded. The loss of information greatly limits the improvement of quality prediction accuracy. One of the main issues of data-driven soft sensor is to furthest exploit the information contained in all available process data. This paper proposes a semisupervised deep learning model for soft sensor development based on the hierarchical extreme learning machine (HELM). First, the deep network structure of autoencoders is implemented for unsupervised feature extraction with all the process samples. Then, extreme learning machine is utilized for regression through appending the quality variable. Meanwhile, the manifold regularization method is introduced for semisupervised model training. The new method can not only deeply extract the information that the data contains, but learn more from the extra unlabeled samples as well. The proposed semisupervised HELM method is applied in a high–low transformer to estimate the carbon monoxide content, which shows a significant improvement of the prediction accuracy, compared to traditional methods.",0278-0046;02780046,,10.1109/TIE.2017.2733448,10.13039/501100001809 - National Natural Science Foundation of China (NSFC); ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8002611,Deep learning (DL);extreme learning machine (ELM);manifold regularization;semisupervised learning;soft sensor,Artificial neural networks;Biological neural networks;Feature extraction;Machine learning;Neurons;Process control;Training,,,,,,,,Traditional,20170804,Feb. 2018,,IEEE,IEEE Journals & Magazines
Regularized Weighted Circular Complex-Valued Extreme Learning Machine for Imbalanced Learning,S. Shukla; R. N. Yadav,"Department of Computer Science and Engineering, Maulana Azad National Institute of Technology, Bhopal, India",IEEE Access,20160112,2015,3,,3048,3057,"Extreme learning machine (ELM) is emerged as an effective, fast, and simple solution for real-valued classification problems. Various variants of ELM were recently proposed to enhance the performance of ELM. Circular complex-valued extreme learning machine (CC-ELM), a variant of ELM, exploits the capabilities of complex-valued neuron to achieve better performance. Another variant of ELM, weighted ELM (WELM) handles the class imbalance problem by minimizing a weighted least squares error along with regularization. In this paper, a regularized weighted CC-ELM (RWCC-ELM) is proposed, which incorporates the strength of both CC-ELM and WELM. Proposed RWCC-ELM is evaluated using imbalanced data sets taken from Keel repository. RWCC-ELM outperforms CC-ELM and WELM for most of the evaluated data sets.",2169-3536;21693536,,10.1109/ACCESS.2015.2506601,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349136,Class imbalance problem;Complex valued neural network;Extreme Learning Machine;Real valued classification;Regularization;Weighted least squares error;class imbalance problem;complex valued neural network;extreme learning machine;regularization;weighted least squares error,Algorithm design and analysis;Biological neural networks;Classification;Learning systems;Least squares methods;Neurons;Signal processing algorithms,learning (artificial intelligence);least squares approximations;pattern classification,Keel repository;complex-valued neuron;imbalanced learning;real-valued classification problems;regularized weighted CC-ELM;regularized weighted circular complex-valued extreme learning machine;weighted ELM;weighted least squares error,,2,,39,,OAPA,20151208,2015,,IEEE,IEEE Journals & Magazines
Sequential Nonlinear Learning for Distributed Multiagent Systems via Extreme Learning Machines,N. D. Vanli; M. O. Sayin; I. Delibalta; S. S. Kozat,"Department of Electrical and Electronics Engineering, Bilkent University, Ankara, Turkey",IEEE Transactions on Neural Networks and Learning Systems,20170520,2017,28,3,546,558,"We study online nonlinear learning over distributed multiagent systems, where each agent employs a single hidden layer feedforward neural network (SLFN) structure to sequentially minimize arbitrary loss functions. In particular, each agent trains its own SLFN using only the data that is revealed to itself. On the other hand, the aim of the multiagent system is to train the SLFN at each agent as well as the optimal centralized batch SLFN that has access to all the data, by exchanging information between neighboring agents. We address this problem by introducing a distributed subgradient-based extreme learning machine algorithm. The proposed algorithm provides guaranteed upper bounds on the performance of the SLFN at each agent and shows that each of these individual SLFNs asymptotically achieves the performance of the optimal centralized batch SLFN. Our performance guarantees explicitly distinguish the effects of data- and network-dependent parameters on the convergence rate of the proposed algorithm. The experimental results illustrate that the proposed algorithm achieves the oracle performance significantly faster than the state-of-the-art methods in the machine learning and signal processing literature. Hence, the proposed method is highly appealing for the applications involving big data.",2162-237X;2162237X,,10.1109/TNNLS.2016.2536649,Turkish Academy of Sciences Outstanding Researcher Programme within the Scientific and Technological Research Council of Turkey; T¿rk Telekom Laboratories; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7431997,Distributed systems;extreme learning machine (ELM);multiagent optimization;sequential learning;single hidden layer feedforward neural networks (SLFNs),Convergence;Cost function;Learning systems;Machine learning algorithms;Signal processing;Signal processing algorithms,learning (artificial intelligence);multi-agent systems;neural nets,Big Data;SLFN;distributed multiagent systems;distributed subgradient-based extreme learning machine algorithm;neighboring agents;sequential nonlinear learning;single hidden layer feedforward neural network,,,,,,,20160311,Mar-17,,IEEE,IEEE Journals & Magazines
Fuzzy extreme learning machine for classification,W. B. Zhang; H. B. Ji,"School of Electronic Engineering, Xidian University, PO Box 229, Xi'an, 710071, People's Republic of China",Electronics Letters,20130422,2013,49,7,448,450,"Compared to traditional classifiers, such as SVM, the extreme learning machine (ELM) achieves similar performance for classification and runs at a much faster learning speed. However, in many real applications, the different input points may not be exactly assigned to one of the classes, such as the imbalance problems and the weighted classification problems. The traditional ELM lacks the ability to solve those problems. Proposed is a fuzzy ELM, which introduces a fuzzy membership to the traditional ELM method. Then, the inputs with different fuzzy matrix can make different contributions to the learning of the output weights. For the weighted classification problems, FELM can provide a more logical result than that of ELM.",0013-5194;00135194,,10.1049/el.2012.3642,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6504956,,,fuzzy set theory;learning (artificial intelligence);matrix algebra;pattern classification,FELM;fuzzy ELM;fuzzy extreme learning machine;fuzzy matrix;fuzzy membership;imbalance problem;weighted classification problem,,2,,,,,,March 28 2013,,IET,IET Journals & Magazines
Short-term load forecasting of Australian National Electricity Market by an ensemble model of extreme learning machine,R. Zhang; Z. Y. Dong; Y. Xu; K. Meng; K. P. Wong,"Centre for Intelligent Electricity Networks, University of Newcastle, Newcastle, Australia","IET Generation, Transmission & Distribution",20130617,2013,7,4,391,397,"Artificial Neural Network (ANN) has been recognized as a powerful method for short-term load forecasting (STLF) of power systems. However, traditional ANNs are mostly trained by gradient-based learning algorithms which usually suffer from excessive training and tuning burden as well as unsatisfactory generalization performance. Based on the ensemble learning strategy, this paper develops an ensemble model of a promising novel learning technology called extreme learning machine (ELM) for high-quality STLF of Australian National Electricity Market (NEM). The model consists of a series of single ELMs. During the training, the ensemble model generalizes the randomness of single ELMs by selecting not only random input parameters but also random hidden nodes within a pre-defined range. The forecast result is taken as the median value the single ELM outputs. Owing to the very fast training/tuning speed of ELM, the model can be efficiently updated to on-line track the variation trend of the electricity load and maintain the accuracy. The developed model is tested with the NEM historical load data and its performance is compared with some state-of-the-art learning algorithms. The results show that the training efficiency and the forecasting accuracy of the developed model are superior over the competitive algorithms.",1751-8687;17518687,,10.1049/iet-gtd.2012.0541,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6530985,,,gradient methods;learning (artificial intelligence);load forecasting;neural nets;power engineering computing;power markets,ANN;Australian NEM;Australian National Electricity Market;ELM learning technique;NEM historical load data;STLF problem;artificial neural network;electricity load variation;ensemble model;extreme learning machine;forecasting accuracy;gradient-based learning algorithm;power system operations;pre-defined range;short-term load forecasting;stability problem;training speed;training-tuning speed,,16,,,,,,Apr-13,,IET,IET Journals & Magazines
Stacked Extreme Learning Machines,H. Zhou; G. B. Huang; Z. Lin; H. Wang; Y. C. Soh,"School of Electrical and Electronic Engineering, Nanyang Technological University, Nanyang, Singapore",IEEE Transactions on Cybernetics,20170520,2015,45,9,2013,2025,"Extreme learning machine (ELM) has recently attracted many researchers' interest due to its very fast learning speed, good generalization ability, and ease of implementation. It provides a unified solution that can be used directly to solve regression, binary, and multiclass classification problems. In this paper, we propose a stacked ELMs (S-ELMs) that is specially designed for solving large and complex data problems. The S-ELMs divides a single large ELM network into multiple stacked small ELMs which are serially connected. The S-ELMs can approximate a very large ELM network with small memory requirement. To further improve the testing accuracy on big data problems, the ELM autoencoder can be implemented during each iteration of the S-ELMs algorithm. The simulation results show that the S-ELMs even with random hidden nodes can achieve similar testing accuracy to support vector machine (SVM) while having low memory requirements. With the help of ELM autoencoder, the S-ELMs can achieve much better testing accuracy than SVM and slightly better accuracy than deep belief network (DBN) with much faster training speed.",2168-2267;21682267,,10.1109/TCYB.2014.2363492,Singapore Academic Research Fund (AcRF) Tier 1; Singapore¿s National Research Foundation; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6937189,Deep learning;eigenvalue;extreme learning machine (ELM);feature mapping;principal component analysis (PCA);support vector machines (SVMs),Accuracy;Covariance matrices;Eigenvalues and eigenfunctions;Principal component analysis;Support vector machines;Testing;Training,Big Data;feedforward neural nets,ELM autoencoder;ELM network;S-ELM;big data problems;extreme learning machine;generalized single-hidden layer feed-forward networks;random hidden nodes;stacked ELM,,14,,43,,,20141028,Sept. 2015,,IEEE,IEEE Journals & Magazines
Low-Discrepancy Points for Deterministic Assignment of Hidden Weights in Extreme Learning Machines,C. Cervellera; D. Macciò,"National Research Council, Institute of Intelligent Systems for Automation, Genoa, Italy",IEEE Transactions on Neural Networks and Learning Systems,20160315,2016,27,4,891,896,"The traditional extreme learning machine (ELM) approach is based on a random assignment of the hidden weight values, while the linear coefficients of the output layer are determined analytically. This brief presents an analysis based on geometric properties of the sampling points used to assign the weight values, investigating the replacement of random generation of such values with low-discrepancy sequences (LDSs). Such sequences are a family of sampling methods commonly employed for numerical integration, yielding a more efficient covering of multidimensional sets with respect to random sequences, without the need for any computationally intensive procedure. In particular, we prove that the universal approximation property of the ELM is guaranteed when LDSs are employed, and how an efficient covering affects the convergence positively. Furthermore, since LDSs are generated deterministically, the results do not have a probabilistic nature. Simulation results confirm, in practice, the good theoretical properties given by the combination of ELM with LDSs.",2162-237X;2162237X,,10.1109/TNNLS.2015.2424999,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7103315,Discrepancy;extreme learning machines (ELMs);low-discrepancy sequences (LDSs);universal approximation;universal approximation.,Approximation algorithms;Approximation methods;Convergence;Learning systems;Probabilistic logic;Standards;Training,approximation theory;learning (artificial intelligence);numerical analysis,ELM;LDS;deterministic assignment;extreme learning machines;geometric properties;hidden weight values;hidden weights;low discrepancy points;low-discrepancy sequences;sampling methods;sampling points;universal approximation property,,5,,20,,,20150507,Apr-16,,IEEE,IEEE Journals & Magazines
Depth-Based Human Fall Detection via Shape Features and Improved Extreme Learning Machine,X. Ma; H. Wang; B. Xue; M. Zhou; B. Ji; Y. Li,"School of Control Science and Engineering, Shandong University, Jinan, China",IEEE Journal of Biomedical and Health Informatics,20170520,2014,18,6,1915,1922,"Falls are one of the major causes leading to injury of elderly people. Using wearable devices for fall detection has a high cost and may cause inconvenience to the daily lives of the elderly. In this paper, we present an automated fall detection approach that requires only a low-cost depth camera. Our approach combines two computer vision techniques-shape-based fall characterization and a learning-based classifier to distinguish falls from other daily actions. Given a fall video clip, we extract curvature scale space (CSS) features of human silhouettes at each frame and represent the action by a bag of CSS words (BoCSS). Then, we utilize the extreme learning machine (ELM) classifier to identify the BoCSS representation of a fall from those of other actions. In order to eliminate the sensitivity of ELM to its hyperparameters, we present a variable-length particle swarm optimization algorithm to optimize the number of hidden neurons, corresponding input weights, and biases of ELM. Using a low-cost Kinect depth camera, we build an action dataset that consists of six types of actions (falling, bending, sitting, squatting, walking, and lying) from ten subjects. Experimenting with the dataset shows that our approach can achieve up to 91.15% sensitivity, 77.14% specificity, and 86.83% accuracy. On a public dataset, our approach performs comparably to state-of-the-art fall detection methods that need multiple cameras.",2168-2194;21682194,,10.1109/JBHI.2014.2304357,; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6730899,Curvature scale space (CSS);extreme learning machine (ELM);fall detection;particle swarm optimization;shape contour,Accuracy;Algorithm design and analysis;Cameras;Computer vision;Feature extraction;Particle swarm optimization,bending;biomedical optical imaging;cameras;feature extraction;gait analysis;geriatrics;image classification;image representation;learning (artificial intelligence);mechanoception;medical image processing;particle swarm optimisation,BoCSS representation;Kinect depth camera;bending;computer vision technique-shape-based fall characterization;curvature scale space feature extraction;depth-based human fall detection;elderly people;extreme learning machine classifier;fall video clip;injury;lying;sitting;squatting;variable-length particle swarm optimization algorithm;walking;wearable devices,"0;Accidental Falls;Algorithms;Artificial Intelligence;Female;Humans;Image Processing, Computer-Assisted;Male;Models, Statistical;Monitoring, Ambulatory;Posture;Sensitivity and Specificity;Walking",37,,37,,OAPA,20140203,Nov. 2014,,IEEE,IEEE Journals & Magazines
Dynamic Delay Predictions for Large-Scale Railway Networks: Deep and Shallow Extreme Learning Machines Tuned via Thresholdout,L. Oneto; E. Fumeo; G. Clerico; R. Canepa; F. Papa; C. Dambra; N. Mazzino; D. Anguita,"Department of Informatics, BioEngineering, Robotics, and Systems Engineering, University of Genoa, Genoa, Italy","IEEE Transactions on Systems, Man, and Cybernetics: Systems",20170914,2017,47,10,2754,2767,"Current train delay (TD) prediction systems do not take advantage of state-of-the-art tools and techniques for handling and extracting useful and actionable information from the large amount of endogenous (i.e., generated by the railway system itself) and exogenous (i.e., related to railway operation but generated by external phenomena) data available. Additionally, they are not designed in order to deal with the intrinsic time varying nature of the problem (e.g., regular changes in the nominal timetable, etc.). The purpose of this paper is to build a dynamic data-driven TD prediction system that exploits the most recent tools and techniques in the field of time varying big data analysis. In particular, we map the TD prediction problem into a time varying multivariate regression problem that allows exploiting both historical data about the train movements and exogenous data about the weather provided by the national weather services. The performance of these methods have been tuned through the state-of-the-art thresholdout technique, a very powerful procedure which relies on the differential privacy theory. Finally, the performance of two efficient implementations of shallow and deep extreme learning machines that fully exploit the recent in-memory large-scale data processing technologies have been compared with the current state-of-the-art TD prediction systems. Results on real-world data coming from the Italian railway network show that the proposal of this paper is able to remarkably improve the state-of-the-art systems.",2168-2216;21682216,,10.1109/TSMC.2017.2693209,European Union through the Projects Capacity for Rail&#8212;C4R; Innovative Intelligent Rail&#8212;In2Rail; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917288,Apache Spark;big data;deep extreme learning machine (DELM);delay prediction;dynamic varying systems;in-memory computing;intelligent transportation systems;model selection (MS);railway;shallow extreme learning machine (SELM);thresholdout,Big Data;Data models;Delays;Meteorology;Predictive models;Rail transportation;Tools,learning (artificial intelligence);railways;regression analysis,differential privacy theory;dynamic data-driven TD prediction system;dynamic delay predictions;extreme learning machines;large-scale railway networks;time varying big data analysis;time varying multivariate regression problem,,,,,,OAPA,20170502,Oct. 2017,,IEEE,IEEE Journals & Magazines
Cost-Sensitive AdaBoost Algorithm for Ordinal Regression Based on Extreme Learning Machine,A. Riccardi; F. Fernández-Navarro; S. Carloni,"Advanced Concepts Team, European Space Research and Technology Centre, European Space Agency, Noordwijk, The Netherlands",IEEE Transactions on Cybernetics,20140912,2014,44,10,1898,1909,"In this paper, the well known stagewise additive modeling using a multiclass exponential (SAMME) boosting algorithm is extended to address problems where there exists a natural order in the targets using a cost-sensitive approach. The proposed ensemble model uses an extreme learning machine (ELM) model as a base classifier (with the Gaussian kernel and the additional regularization parameter). The closed form of the derived weighted least squares problem is provided, and it is employed to estimate analytically the parameters connecting the hidden layer to the output layer at each iteration of the boosting algorithm. Compared to the state-of-the-art boosting algorithms, in particular those using ELM as base classifier, the suggested technique does not require the generation of a new training dataset at each iteration. The adoption of the weighted least squares formulation of the problem has been presented as an unbiased and alternative approach to the already existing ELM boosting techniques. Moreover, the addition of a cost model for weighting the patterns, according to the order of the targets, enables the classifier to tackle ordinal regression problems further. The proposed method has been validated by an experimental study by comparing it with already existing ensemble methods and ELM techniques for ordinal regression, showing competitive results.",2168-2267;21682267,,10.1109/TCYB.2014.2299291,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6719563,Boosting;SAMME algorithm;extreme learning machine;neural networks;ordinal regression,Artificial neural networks;Boosting;Kernel;Prediction algorithms;Training;Vectors,learning (artificial intelligence);least squares approximations;regression analysis,ELM model;Gaussian kernel;SAMME boosting algorithm;cost model;cost-sensitive AdaBoost algorithm;ensemble model;extreme learning machine;ordinal regression;regularization parameter;stagewise additive modeling using a multiclass exponential;weighted least squares problem,0,21,,63,,,20140122,Oct. 2014,,IEEE,IEEE Journals & Magazines
Extreme Learning Machine for Multilayer Perceptron,J. Tang; C. Deng; G. B. Huang,"School of Information and Electronics, Beijing Institute of Technology, Beijing, China",IEEE Transactions on Neural Networks and Learning Systems,20170520,2016,27,4,809,821,"Extreme learning machine (ELM) is an emerging learning algorithm for the generalized single hidden layer feedforward neural networks, of which the hidden node parameters are randomly generated and the output weights are analytically computed. However, due to its shallow architecture, feature learning using ELM may not be effective for natural signals (e.g., images/videos), even with a large number of hidden nodes. To address this issue, in this paper, a new ELM-based hierarchical learning framework is proposed for multilayer perceptron. The proposed architecture is divided into two main components: 1) self-taught feature extraction followed by supervised feature classification and 2) they are bridged by random initialized hidden weights. The novelties of this paper are as follows: 1) unsupervised multilayer encoding is conducted for feature extraction, and an ELM-based sparse autoencoder is developed via ℓ<sub>1</sub> constraint. By doing so, it achieves more compact and meaningful feature representations than the original ELM; 2) by exploiting the advantages of ELM random feature mapping, the hierarchically encoded outputs are randomly projected before final decision making, which leads to a better generalization with faster learning speed; and 3) unlike the greedy layerwise training of deep learning (DL), the hidden layers of the proposed framework are trained in a forward manner. Once the previous layer is established, the weights of the current layer are fixed without fine-tuning. Therefore, it has much better learning efficiency than the DL. Extensive experiments on various widely used classification data sets show that the proposed algorithm achieves better and faster convergence than the existing state-of-the-art hierarchical learning methods. Furthermore, multiple applications in computer vision further confirm the generality and capability of the proposed learning scheme.",2162-237X;2162237X,,10.1109/TNNLS.2015.2424995,Excellent Young Scholars Research Fund of Beijing Institute of Technology; 10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7103337,Deep learning (DL);deep neural network (DNN);extreme learning machine (ELM);multilayer perceptron (MLP);random feature mapping;random feature mapping.,Artificial neural networks;Feature extraction;Least squares approximations;Nonhomogeneous media;Optimization;Training,feedforward neural nets;learning (artificial intelligence);multilayer perceptrons;pattern classification,DL;ELM random feature mapping;ELM-based hierarchical learning framework;ELM-based sparse autoencoder;computer vision;decision making;deep learning;extreme learning machine;feature learning;feature representations;generalized single hidden layer feedforward neural networks;greedy layerwise training;hierarchical learning methods;hierarchically encoded outputs;learning algorithm;learning speed;multilayer perceptron;random initialized hidden weights;self-taught feature extraction;supervised feature classification;unsupervised multilayer encoding,,105,,33,,,20150507,Apr-16,,IEEE,IEEE Journals & Magazines
An Energy-Efficient Nonvolatile In-Memory Computing Architecture for Extreme Learning Machine by Domain-Wall Nanowire Devices,Y. Wang; H. Yu; L. Ni; G. B. Huang; M. Yan; C. Weng; W. Yang; J. Zhao,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Nanotechnology,20151109,2015,14,6,998,1012,"The data-oriented applications have introduced increased demands on memory capacity and bandwidth, which raises the need to rethink the architecture of the current computing platforms. The logic-in-memory architecture is highly promising as future logic-memory integration paradigm for high throughput data-driven applications. From memory technology aspect, as one recently introduced nonvolatile memory device, domain-wall nanowire (or race-track) not only shows potential as future power efficient memory, but also computing capacity by its unique physics of spintronics. This paper explores a novel distributed in-memory computing architecture where most logic functions are executed within the memory, which significantly alleviates the bandwidth congestion issue and improves the energy efficiency. The proposed distributed in-memory computing architecture is purely built by domain-wall nanowire, i.e., both memory and logic are implemented by domain-wall nanowire devices. As a case study, neural network-based image resolution enhancement algorithm, called DW-NN, is examined within the proposed architecture. We show that all operations involved in machine learning on neural network can be mapped to a logic-in-memory architecture by nonvolatile domain-wall nanowire. Domain-wall nanowire-based logic is customized for in machine learning within image data storage. As such, both neural network training and processing can be performed locally within the memory. The experimental results show that the domain-wall memory can reduce 92% leakage power and 16% dynamic power compared to main memory implemented by DRAM; and domain-wall logic can reduce 31% both dynamic and 65% leakage power under the similar performance compared to CMOS transistor-based logic. And system throughput in DW-NN is improved by 11.6x and the energy efficiency is improved by 56x when compared to conventional image processing system.",1536-125X;1536125X,,10.1109/TNANO.2015.2447531,A*STAR PSF; Huawei Shannon Research Lab; MOE Tier-2; Singapore NRF-CRP; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7128727,Domain wall;extreme learning machine;in-memory computing;nonvolatile memory,Magnetic tunneling;Memory architecture;Nanoscale devices;Nanowires;Nonvolatile memory;Random access memory,electric domain walls;learning (artificial intelligence);nanowires;neural nets;random-access storage,DW-NN;bandwidth congestion issue;computing capacity;data-oriented applications;distributed in-memory computing architecture;domain-wall nanowire devices;domain-wall nanowire-based logic;energy efficiency;future logic-memory integration paradigm;image data storage;logic functions;logic-in-memory architecture;machine learning;neural network training;neural network-based image resolution enhancement algorithm;nonvolatile domain-wall nanowire;nonvolatile memory device,,20,,45,,,20150619,Nov. 2015,,IEEE,IEEE Journals & Magazines
